亜沙	あすな,あずな
結歩	ゆいほ,ゆうあ,ゆほ
結優	ゆうゆ,ゆゆ
結友	ゆうゆ,ゆゆ
結蘭	ゆあら,ゆいか,ゆうか,ゆか,ゆら
結利	ゆいり,ゆり
結吏	ゆいり,ゆり
結李	ゆいり,ゆり
結梨	ゆいり,ゆうな,ゆな,ゆり,ゆりん
結理	ゆいり,ゆり
結里	ゆいり,ゆり
結和	ゆいか,ゆいな,ゆうか,ゆうな,ゆか,ゆな
結凛	ゆいり,ゆり,ゆりん
結莉	ゆいり,ゆり
結凜	ゆいり,ゆり,ゆりん
月	あかり,ゆえ,らら,るな
玄	しずか,みち
五月	さつき,めい
光	あかね,あかり,みち,みちる,めぐみ
光海	こうみ,みつみ
光希	みき,るの
光美	こうみ,このか,みつみ,みはる,みみ,みよ
光来	みく,みくる
光理	みこと,みり
光里	あかり,みさと,みり,るり
光流	みはる,みる
光留	みちる,みる
光莉	あかり,みり
功美	くみ,こうみ
好	このか,よしみ
幸	さち,みゆき,めぐみ
幸羽	みゆう,ゆきは
幸空	さら,ゆきあ
幸葉	ゆきは,よつば
紅羽	いろは,くれは,このか
紅音	あかね,あのん,べにお
紅葉	あかね,いろは,くれは
香奈	かなん,かんな
香梨	かおり,かりん
香里	かおり,かほり
彩	あかり,あやか,あやな,ここあ,さい,さや,さやか,さら,まどか
彩音	あのん,あやな,あやね,あやの,さお,さやね,はのん
彩希	あやね,あやの,さつき,ゆいり
彩桜	あやさ,さお,さくら,ささ,さら,みさき
彩樹	あやな,きき
彩生	あみ,あやせ,あやな,あやみ,いろは,さい,さゆき,さら,りい
彩日	あやか,さいか
彩風	あやか,さいか
彩来	あこ,あやな,さら
彩蘭	さえら,さら,さらん
彩和	あやな,さお,さより,さわ
采	いろは,さい
采愛	あやな,あやめ
采羽	いろは,ことは
采和	あやな,ことな,さわ
冴	さえ,さゆ
咲	えみ,さえ,さくら,にこ,みさき
咲日	えみか,さきか
咲陽	さや,さよ
桜	さくら,もも
桜音	おとね,かのん,さお,はるね,みと,りの
桜生	さくら,はるな
桜舞	さくら,まい
桜羅	さくら,さら
桜蘭	おうか,くらら,さくら,さら,さらん
桜良	さくら,さよ,さら
桜莉	さり,みり
皐	さつき,さわ
志音	しのん,ゆきね
詩音	うたね,ことね,ことの,しおね,しのん
詩生	うい,うたは
汐音	しおね,しのん
汐夏	きよか,きよな,しおか,しおな
七音	ななね,なのん
七星	なつほ,ななえ,ななほ,なほ
実音	みおん,みと,みね,みのん
実来	みき,みく,みくる,みこ
実里	まり,みさと,みり
実來	みく,みくる,みこ
実莉	みり,みれい
紗	さや,すず,たえ
紗陽	さや,さよ
朱	あかり,あけみ
朱加	あやか,しゅか
朱浬	あかり,じゅり
朱李	あかね,あかり,じゅり
朱理	あかり,あやり,じゅり
朱璃	あかり,じゅり
朱里	あかり,じゅり
朱俐	あかり,じゅり
朱凛	あかり,じゅり
朱莉	あかり,あやり,じゅり
珠衣	しゅい,たまえ,みい
珠己	しゅな,じゅな
珠樹	じゅじゅ,たまな,みき
珠生	じゅな,たまみ,みう
珠美	たまみ,みはる,めぐみ
珠李	じゅり,みり
珠梨	しゅな,じゅり,みり
珠琉	じゅり,みる
寿	ことぶき,ことほ
寿美	ことみ,すずみ,ひさみ
樹	じゅり,みき
樹実	いつみ,きみ
秋音	あかね,あきね,あきの
充	みち,みちる
春	さくら,やよい
春華	さくら,しゅか,しゅんか
春美	あつみ,かすみ
潤	うるみ,ひとみ
初	うい,うぶ
初音	うい,ねね,はつね,みく
晶	あきこ,さやか
織	おりえ,しおり
心	まなか,みゆ
心温	かのん,ここあ,ここね,このか,しのん,みおん,みはる
心音	ここね,ことね,このか,みおん,みと,みね
心輝	みか,みき
心良	うらら,きよら
心來	ここな,みく,みくる
心綺	ここあ,みき
真海	さなみ,まう,まなか,まなみ,まみ,まりん
真己	まなみ,まみ
真采	まあや,みこと
真実	なおみ,まなみ,まみ
真珠	しんじゅ,ましろ,まじゅ,まなみ,まみ,まりん
真寿	しんじゅ,まじゅ
真樹	しんじゅ,まじゅ
真心	まなか,まなみ,まみ
真美	さなみ,まなみ,まみ
真弥	まみ,まや
真優	まゆ,まゆう
真陽	まひな,まよ
仁	ひとみ,めぐみ
仁愛	にいな,にな,ひとえ,みちか
仁和	にか,にな
翠	きらら,みどり
瑞月	けいな,みずき
瑞樹	みき,みずき
澄空	あかり,きよら
成美	あきみ,なりみ,よしみ
星夏	あかり,せいか,せいな,ほしな
星空	あかり,かれん,きらら,せいか
星七	せいな,ほしな
星奈	せいな,てぃな,ほしな,らな
星那	せいな,ほしな
星南	せいな,せれな,ほしな,ほなみ
星波	せいな,ほなみ
星名	せいな,ほしな
星来	しょうこ,せいこ,せいな
晴	さやか,ひより
晴夏	せいか,せいな,はな,はるな
晴菜	せいな,はな,はるな
晴奈	せいな,はな,はるな
晴那	せいな,はな,はるな
晴凪	せいな,はな,はるな
晴南	せいな,はな,はるな
清	さや,さやか
清奈	きよな,さやな,せいな
清那	きよな,さやな,せいな
清凪	きよな,さやな,せいな
生衣	いくえ,うい
生空	きく,みそら
聖	きよね,きよら,のえる,まりあ,みずき
聖夏	きよか,きよな,せいか,せいな,ひなつ,みか
聖菜	きよな,さとな,せいな
聖奈	きよな,せいな
聖那	さとな,しょうな,せいな
青音	あおね,あのん
青空	しょうこ,はるあ
青波	あおな,あおは
千桜	さくら,ちさ,ちよ
千寿	ちず,ちとせ
千祥	ちさき,ちゆき
千聖	ちあき,ちさと
千都	ちさと,ちず,ちづ,ちとせ
千凪	ちな,ゆきな
千洋	ちなみ,ゆきみ
千陽	ちあき,ちよ
千璃	せり,ちあき,ちり
千里	ちさと,ちり
千凛	せり,ちり
千莉	せり,ちり
泉里	みさと,みり
奏音	かなね,かなん,かの,かのん,ことね,その,りのん
奏歩	かなほ,かほ
爽	さや,さやか,さわ
蒼海	あおか,あおみ,まりん
蒼波	あおな,あおは
蒼葉	あおは,そよ
太陽	あかり,ひまわり
暖	のの,ほのか
知佳	あきか,ともか,のりか
知花	ちはな,ともか
知世	ちよ,ともよ
智	さとり,ちえ
智世	ちよ,ともよ
朝日	あさか,ともか
天音	そらね,たかね,てんね
天子	たかこ,のりこ,はるこ,ひろこ
天寧	あめり,てんね
都	みや,みやこ
奈愛	なえ,なちか
捺	なち,なつめ
南波	ななみ,まなみ
日菜	にな,はるな,ひなの
日和	このか,にか,ひまり,ひより
寧音	しずね,ねね
波音	なのん,はのん,まりん
妃	きさき,ひめ
美	みい,みやび
美愛	みあ,みあい,みあり,みい,みいな,みう,みえ,みか,みちか,みゆ,みわ,よしえ
美音	はるね,みい,みう,みおん,みと,みね,みのん
美海	あいみ,みう,みうな,みうみ,みか,みみ,よしみ
美響	みおん,みき
美月	てぃな,はるる,みずき,るな
美己	みこ,よしみ
美南	あいな,はるな
美来	はるな,みき,みく,みくる
美藍	うらん,みあ,みあい
美蘭	うらん,みか
美來	みく,みくる,みこ,みれい
姫	ひめ,ひらり
百和	もあ,もな,ももか,ももな
舞	ひらり,ふわり,まい,まう,まえ
舞音	まいね,まのん,まりん
舞夏	まいか,まいな
楓愛	かえら,ふうあ,ふうな
碧音	あおね,あのん,そらね
碧海	あおか,あおみ,あみ,きよみ,たまみ,まりん,みう
碧波	あおは,たまみ
歩	あゆみ,ありか
歩羽	あゆは,ふわり
歩生	あゆい,あゆみ
歩夢	あゆみ,あゆめ,ふゆめ
歩来	あゆな,あゆら
穂	ほのか,めぐみ
朋	みえ,もえ
芳	かおり,かほ,はな,みち
萌	きさ,めい,めぐみ,めばえ,めみ,もえ,もゆ
望	まどか,みずき
望海	のあ,みう
望来	みく,みくる
望來	みく,みくる,みこ
麻依	まい,まよ
万弥	まみ,まや
万優	まゆ,まゆう
万裕	まゆ,まゆう
満	みち,みちる
満優	まゆ,みゆ,みゆう
未来	みき,みく,みくり,みくる,みこ,みゆき,みるく,みれい
未來	みき,みく,みくり,みくる,みこ
夢	あんな,かなえ,まい,めい,ゆい,ゆな,らむ
夢月	ゆうな,ゆつき,ゆづき
命	みこと,めい
明	あかり,めい
明佳	あきか,みか,めいか
明海	あきみ,あみ,めいみ
明空	あかり,めいあ
明生	めい,めいみ
明来	あこ,みく,めぐる
鳴美	なりみ,めいみ
弥来	みく,みくる,やこ
弥來	みく,みくる,みこ
唯月	ゆつき,ゆづき
佑羽	ゆうね,ゆうは
佑海	ゆうみ,ゆみ
佑和	ゆうな,ゆな
優	ここな,まゆ,ゆい
優杏	ゆい,ゆうあ,ゆうこ,ゆのあ
優羽	ゆうね,ゆうは
優海	ゆうか,ゆうな,ゆうみ,ゆな,ゆみ
優楽	うたの,ゆら
優空	ゆうあ,ゆら
優光	ゆうみ,ゆみ
優桜	ゆか,ゆさ,ゆら
優生	うい,ゆい,ゆうな,ゆな
優美	ゆうみ,ゆみ
優歩	ゆうあ,ゆほ
優梨	ゆうな,ゆな,ゆり
優和	ゆいな,ゆうあ,ゆうか,ゆうな,ゆか,ゆな
優凛	ゆり,ゆりん
優莉	ゆり,りり
優凜	ゆり,ゆりん
勇那	ゆうな,ゆな
友優	まゆう,ゆうゆ
友和	ゆうな,ゆな
友凛	ゆり,ゆりん
悠杏	はるこ,ゆうあ
悠佳	ゆうか,ゆか
悠加	ゆうか,ゆか
悠可	ゆうか,ゆか
悠夏	はるな,ゆうか,ゆうな,ゆか,ゆな
悠珂	ゆうか,ゆか
悠禾	ゆいね,ゆうか
悠華	ともか,ゆうか,ゆか
悠海	ゆうあ,ゆうみ,ゆみ
悠叶	ゆうか,ゆか
悠生	ゆい,ゆうな
悠帆	はるほ,ゆほ
悠楓	ゆうか,ゆか
悠歩	はるほ,ゆうあ,ゆほ
悠梨	ゆいり,ゆり
悠流	はるる,ゆり
有桜	ありさ,りさ
有李	ゆい,ゆり
有凛	ありん,ゆり
柚葵	ゆうあ,ゆづき
柚羽	ゆうは,ゆずは,ゆづは,ゆのは
柚希	ゆづき,ゆの
柚月	ゆつき,ゆづき
柚生	ゆい,ゆずは
柚歩	ゆずほ,ゆほ
柚友	ゆずゆ,ゆゆ
柚有	ゆうあ,ゆずゆ
柚李	ゆい,ゆり
柚來	ゆずな,ゆな,ゆら
柚凛	ゆり,ゆりん
由	みゆ,ゆい,ゆかり,ゆり
由羽	ゆいは,ゆうは
由歩	ゆうあ,ゆきほ,ゆほ
由李	ゆいり,ゆり
由理	ゆいり,ゆり
由侑	ゆうゆ,ゆゆ
由莉	ゆいり,ゆり
祐穂	ちほ,ゆほ
祐李	ゆい,ゆり
祐和	ゆうな,ゆな
裕海	ゆうみ,ゆみ
裕己	ひろこ,ゆみ
裕実	ゆうみ,ゆみ
裕美	ゆうみ,ゆみ
裕巳	ゆうみ,ゆみ
夕日	ゆうか,ゆか
夕和	ゆうな,ゆな
葉音	はつね,はの,はのん
葉月	はずき,はづき
陽	あかり,このか,ひまり,ひより
陽葵	ひいろ,ひまり,ひまわり,ひより
陽夏	ひなつ,ようか
陽海	ひなみ,ひみ
陽香	ひなこ,ようか
陽心	ひなこ,ひなみ,ようこ
陽世	はるよ,ひよ
陽晴	あきは,ひばり
陽美	ひとみ,ひなみ,ひみ
来羽	くれは,このか
来未	きみ,くみ
来夢	らみ,らむ
利音	りね,りのん
李	すもも,もも
李音	ももね,りのん
李生	ももは,りな
李和	りか,りな,りわ
梨音	りね,りの,りのん,りんね
梨生	りい,りな
理愛	あやめ,りう,りえ,りな,りのあ
理音	あやね,ことね,りね,りのん
理織	ことり,りり
理美	あやみ,さとみ,りほ,りみ
璃愛	りあら,りのあ
璃音	りね,りの,りのん
璃和	りな,りわ
里音	さとね,りね,りのん
里桜	りか,りさ
里和	りな,りわ
琉愛	りあら,るうあ,るな,るのあ,るるな
琉音	るね,るの,るのん
琉花	りゅうか,りゅうな,るいか
琉海	りみ,りゅうか,るうな
涼	さやか,すず,すずか,すずみ
涼風	すずか,りょうか
琳音	りのん,りんね
瑠	るな,るり
瑠愛	るな,るのあ
瑠夏	りゅうか,るうな,るな
瑠香	りゅうか,るいか
令和	れいか,れいな,れな
麗	うらら,うるみ,ひばり
麗愛	えりん,れあ,れいあ,れいな,れいら,れな,れのあ,れら
麗羽	りう,りわ,れいは
麗生	みれい,りう,れいは
恋空	るん,れあ,れいら
和	にこ,のどか,まどか,やわら
和音	あいね,あのん,かのん,のあ
和子	あいこ,あいね,あこ,かずこ,たかこ,よしこ,よりこ,わこ
和心	あいこ,あこ,あみ,なこ,ななみ,にこ,わこ
和奏	あいか,のどか,ほのか,わかな
和帆	かほ,なほ
和美	あいみ,あきみ,かほ,むつみ
和歩	かほ,なほ
和穂	かほ,なほ
侑羽	ゆうは,ゆきは
侑海	ゆうみ,ゆみ
侑生	うい,ゆい,ゆうな
侑歩	ゆきほ,ゆほ
侑梨	ゆうな,ゆり
侑和	ゆうな,ゆな
來羽	くれは,このか
凛愛	りのあ,りりあ,りんな
凛音	りおね,りね,りの,りのん,りんね
凛桜	りおな,りさ,りら
凛和	ひより,りな,りわ,りんか,りんな
惺南	しずな,せいな
栞	しおり,しほり
栞音	かのん,しおね
澪音	みおね,みおん,れいね,れいん
眞弥	まいや,まみ,まや
絆愛	きあら,くれあ,はんな,りあな
綺星	あやせ,あやほ,きせい,きほ,きらら
苺	いちご,まい
茉弥	まみ,まや
茉優	まう,まゆ,まゆう
茉祐	まゆ,まゆう
莉	まり,りい
莉愛	まりあ,りい,りいな,りさ,りのあ,りら,りりあ,りりい,れいあ,れいな,れいら,れのあ
莉杏	りこ,れあん,れいあ
莉音	りね,りの,りのん
莉月	りる,れいな
莉桜	りさ,れいら
莉生	りい,りう,りせ,りな,りぶ,れいみ
莉和	りな,りわ,れいな
萠	きさ,めぐみ,もえ
颯来	さつき,さら
凜音	りおね,りね,りのん,りんね
