あい	阿井,愛,曾,相,藍,會
あかぎ	赤城,赤木
あかぎし	赤岸
あかぎり	赤桐
あかくぼ	赤久保
あかくま	赤熊
あかくら	赤倉
あかぐま	赤熊
あかぐり	赤栗
あかげ	赤毛
あかさか	紅坂,赤坂,赤阪
あかさき	赤﨑,赤崎,赤碕,赤嵜,明崎
あかさこ	赤﨏,赤窄,赤迫,赤硲
あかさわ	赤沢,赤澤
あかざ	赤座
あかざき	赤﨑,赤崎,赤碕
あかざわ	赤沢,赤澤
あかし	紅,赤司,赤士,赤志,朋石,明司,明石
あかしお	赤塩
あかしか	赤鹿
あかしげ	赤繁
あかした	赤下
あかしば	赤柴,赤芝
あかしま	赤島
あかしろ	赤城
あかじ	赤時,赤治,赤地,赤路
あかす	赤須
あかせ	赤瀬,明瀬
あかせがわ	赤瀬川
あかそ	赤楚
あかそふ	赤祖父
あかぞめ	赤染
あかた	赤田
あかたき	赤滝
あかたに	赤谷
あかだ	赤田
あかち	赤地,明智
あかつ	吾勝,赤津
あかつか	赤塚,赤司,赤塚,赤墳,赤柄
あかつき	暁,赤月,赤築,明槻,曉
あかつち	赤土
あかづか	赤塚
あかとう	赤塔
あかど	赤土
あかどまり	赤泊
あかな	赤穴,赤名
あかにし	赤西
あかぬま	赤沼
あかね	茜,赤根
あかねがくぼ	茜ヶ久保
あかねや	茜谷,赤根谷
あかの	赤野
あかは	赤羽
あかはぎ	赤萩
あかはた	赤畑,赤畠
あかはな	赤花
あかはに	赤埴
あかはね	赤羽,赤羽,赤羽根,赤波根,赤翼,赤刎
あかはま	赤浜
あかはら	赤原
あかば	赤羽
あかばえ	赤波江
あかばたけ	赤畠
あかばね	赤羽,赤羽,赤羽根,赤刎
あかばめ	赤羽目
あかばやし	赤林
あかひげ	赤髭
あかひで	赤秀
あかひら	赤平
あかふじ	赤藤
あかふち	赤渕
あかぶち	赤淵
あかべ	赤部
あかほ	赤保,赤穂,赤穗,明穗
あかほし	赤星
あかほり	赤堀
あかぼし	赤星
あかぼり	赤堀
あかま	赤間,赤真,赤摩,赤磨,赤眞
あかまた	赤股
あかまつ	赤松
あかまる	赤丸
あかみ	赤見
あかみず	赤水
あかみない	赤見内
あかみね	阿嘉嶺,赤峰,赤峯,赤嶺
あかむね	赤宗
あかむら	赤村
あかもと	赤本
あかもり	赤森
あかや	赤谷
あかやま	赤山
あかり	亜雁,亜厂,赤利,明,明利,明里,亞厂
あかる	耀
あが	阿河,阿賀,英賀
あがおか	阿賀岡
あがき	阿垣
あがけ	安掛
あがた	阿加多,阿我田,阿形,阿県,阿片,阿方,阿縣,安賀多,安潟,安型,安形,安方,英賀田,県,県田,縣
あがたはま	阿潟浜
あがつま	阿我妻,我妻,吾妻,上妻
あがの	上野
あがり	阿賀利,上利,上里,揚利
あがりえ	東江
あがりお	上尾
あがりかなぐすく	東金城
あがりた	上里田,揚田
あがりはま	上り浜
あがわ	亜川,阿河,阿川,安川,吾河
あき	阿木,穐,安喜,安岐,安芸,安藝,秋,昭,晶,丙,龝
あきいけ	秋池
あきいずみ	秋泉
あきう	秋生,秋保
あきえ	秋江
あきえだ	穐枝,秋枝
あきお	秋尾
あきおか	穐岡,秋岡
あきかぜ	秋風
あきかわ	秋川
あきがわ	秋川
あきくさ	秋草
あきくに	秋國
あきくぼ	秋久保
あきぐさ	秋草
あきぐち	秋口,明口
あきさか	秋坂,明坂
あきさだ	秋貞,秋定
あきさと	秋里
あきさわ	秋沢,秋澤
あきざき	秋崎,明崎
あきざと	秋里
あきざわ	穐澤,秋沢,秋澤
あきしか	秋鹿
あきしげ	秋重
あきした	秋下
あきしの	秋篠
あきしま	秋島
あきしろ	秋城
あきすえ	秋末
あきずき	秋月
あきずみ	秋炭
あきせ	明瀬
あきぞの	秋園
あきた	穐田,秋田,飽田,明田,龝田
あきたけ	秋竹
あきたに	秋谷
あきたや	秋田谷
あきだ	明田
あきちか	穐近
あきつ	秋津
あきつね	秋常
あきづえ	明杖
あきづか	秋塚
あきづき	秋月,秋槻,明月,明槻
あきとみ	秋富,秋冨
あきとも	秋友
あきどみ	秋冨
あきなか	八月十五日
あきなが	穐永,穐長,秋永,秋長,明永,龝永
あきなり	秋成
あきにわ	秋庭
あきね	秋根
あきの	穐野,安芸乃,秋乃,秋濃,秋野,龝野
あきのう	秋濃
あきのぶ	秋信
あきはた	秋畑
あきはま	秋浜
あきはら	穐原,朱原,秋原,昭原,龝原
あきば	穐場,穐庭,穐葉,秋羽,秋場,秋庭,秋馬,秋葉,秋塲,龝場,龝庭,龝葉
あきばやし	秋林,昭林
あきひさ	秋久
あきひろ	秋廣
あきふさ	秋房
あきふじ	秋藤
あきほ	穐保,秋保,秋甫,秋穂,秋穗
あきまさ	秋政
あきまつ	秋松
あきまる	秋丸
あきみず	秋水
あきみち	秋道
あきみつ	秋光,秋満,秋滿
あきみね	秋峰,秋峯,秋嶺
あきむね	秋宗
あきむら	穐村,秋村,章村,龝村
あきもと	秌元,穐元,穐本,秋元,秋本,昭元,昭本,飽本,明元,龝本
あきもり	秋森
あきや	穐谷,秋屋,秋家,秋谷,龝谷
あきやす	秋安
あきやま	穐山,暁山,顕山,秋山,淳山,昭山,彬山,明山,龝山
あきよし	穐𠮷,穐吉,穐好,秋𠮷,秋吉,秋好,秋芳,秋由,明吉,了仍,龝吉,龝好
あきら	阿木良,晃,秋楽,晶,審,審良,明,明楽,明樂,璋
あきわ	秋和
あぎし	阿岸
あく	安久
あくい	阿久井,安久井
あくさわ	阿久沢,阿久澤
あくざわ	阿久沢,阿久澤,悪沢
あくしち	悪七
あくた	阿久田,芥,芥田,飽田
あくたがわ	芥川
あくたや	芥屋
あくつ	阿久津,安久津,堆,圷
あくと	阿久戸,悪戸,肥土,飽戸
あくど	阿久戸
あくね	阿久根
あくむし	悪虫
あぐ	安久
あぐい	阿久井,阿喰,阿食,安久井,安居,安居院,安喰,日外
あぐいん	安居院
あぐさ	阿草
あぐち	阿口
あぐに	粟国
あぐね	阿具根,莫根
あぐら	安倉
あぐり	安久利
あぐろ	阿黒,安黒
あけ	朱,明
あけい	明井
あけうち	明内
あけお	明尾
あけがみ	明上
あけがらす	暁烏
あけぎ	明木
あけさか	明坂
あけさき	明崎
あけさだ	明定
あけざき	明崎
あけしま	明島
あけしろ	明代
あけじま	明島
あけずみ	明隅
あけた	緋田,明田
あけたがわ	明田川
あけたに	明谷
あけだ	緋田,明田
あけち	明知,明地,明智,明致
あけづま	明妻
あけと	明戸
あけど	明渡
あけな	安慶名
あけなが	明永
あけにわ	明庭
あけの	明野
あけはし	明橋
あけはた	明畠
あけばやし	明林
あけひ	明日,明比
あけび	明比
あけべ	明部
あけほ	明穂
あけほし	明星
あけぼし	明星
あけぼの	曙,明保能
あけま	明間
あけまさ	明政
あけまつ	明松
あけみ	明海,明見
あけみつ	明光
あけみね	明峯
あけむら	明村
あけもと	明元,明本
あけや	明谷
あけやま	朱山,明山
あけよし	明吉
あけら	明楽,明樂
あけり	明里
あげ	揚
あげい	揚井
あげいし	上石,揚石
あげいわ	揚岩
あげさわ	上沢
あげじ	上路
あげた	安慶田,上田,明田,揚田
あげだ	安慶田
あげつま	上妻,揚妻
あげと	揚戸
あげな	安慶名
あげの	揚野
あげのその	上之園
あげはま	上濱
あげはら	揚原
あげまつ	上松
あげみ	上見
あげみず	上水
あげむら	揚村
あげもと	上本
あこ	阿古,阿児,吾子
あこう	阿光,阿甲,安香,赤広,赤生,赤穂,赤廣,赤穗
あこうだに	赤穂谷
あこした	阿古下
あこしま	阿子島
あこじま	阿子島
あごう	阿郷,愛合,安郷,吾郷
あさ	阿佐,浅,朝,麻
あさい	阿佐伊,阿佐井,旭井,浅井,浅生,朝位,朝井,朝居,麻井,淺井
あさいし	浅石
あさいね	朝稲
あさう	朝鵜
あさうえ	麻植
あさうち	朝内
あさうみ	浅海
あさうら	浅浦,朝浦,麻浦
あさえ	浅江,朝栄,朝江
あさえだ	浅枝,朝枝,淺枝
あさお	浅黄,浅生,浅尾,浅雄,旦尾,朝生,朝尾,麻王,麻生,麻尾
あさおか	浅岡,浅丘,旦丘,朝岡,朝丘,麻岡,麻丘,淺岡
あさか	阿坂,安坂,安積,浅加,浅賀,浅香,浅積,朝加,朝霞,朝賀,朝香,淺賀,淺香
あさかい	浅海,浅貝,朝海,朝貝
あさかげ	浅蔭,朝蔭,朝陰,朝影,朝景
あさかみ	浅上
あさかわ	浅河,浅川,朝河,朝川,麻河,麻川,淺河,淺川
あさが	浅賀,朝賀,麻賀
あさがい	浅貝,浅外,朝貝,淺貝
あさがお	朝顔
あさがみ	浅上,麻上
あさがわ	淺川
あさき	阿﨑,阿崎,阿讃横,浅樹,浅木,朝喜,朝木,朝来,朝來,麻喜,麻木,淺木
あさきもり	浅木森
あさぎ	浅黄,浅儀,浅木,朝黄,麻黄,淺黄,淺木
あさぎり	浅桐,浅霧,朝桐,朝霧,淺桐,淺霧
あさくさ	浅草
あさくに	朝国
あさくの	浅久野,朝久野,朝来野,朝來野
あさくぼ	浅窪
あさくま	浅熊,浅隈,朝熊,朝隈
あさくら	浅庫,浅桜,浅倉,浅蔵,浅櫻,浅藏,朝倉,麻倉,淺桜,淺倉
あさくろ	朝倉
あさげ	阿佐慶
あさこ	浅古,浅子,浅小,旦来,朝古,朝胡,朝子,淺古,淺子
あさこし	浅越,朝越
あさごえ	浅越
あさごし	浅越
あささか	浅坂
あさざわ	浅沢,浅澤,朝沢,朝澤,麻沢,麻澤,淺澤
あさしば	浅芝
あさしま	浅島
あさじ	浅茅,浅治,浅地,浅路,朝侍,朝治,朝地,麻地,麻路,淺治,淺地
あさじま	浅島,浅嶋,浅嶌,朝島,麻島,麻嶋,淺島
あさずま	浅妻,朝妻
あさたに	浅谷,朝渓,朝谷,朝溪,麻谷,淺谷
あさだ	阿早田,浅田,朝多,朝田,麻多,麻田,淺田
あさぢ	浅地
あさつ	浅津
あさつか	朝塚
あさつけ	朝付
あさつま	浅妻,朝妻
あさづ	浅津
あさづき	朝月
あさづま	浅妻,朝妻,麻妻,淺妻
あさと	阿里,安里,案里,朝戸
あさとみ	浅富,浅冨,朝富
あさど	朝戸
あさな	浅名
あさなか	浅中,朝中,麻中,淺中
あさなが	浅長
あさなぎ	麻薙
あさなべ	朝鍋
あさなみ	浅並,朝波
あさなり	浅成
あさにし	朝西
あさぬま	浅沼,浅湫,朝沼,麻沼,淺沼
あさの	阿佐野,厚狭野,浅𡌛,浅埜,浅野,朝埜,朝野,麻乃,麻埜,麻野,淺埜,淺野
あさのい	浅野井,麻野井
あさのま	浅野間
あさのみ	浅海
あさのめ	浅野目
あさは	浅葉
あさはた	浅畑,浅畠,麻畑,麻畠,淺畑
あさはら	浅原,朝原,麻原,晨原,淺原
あさば	浅羽,浅羽,浅場,浅葉,浅塲,朝羽,朝場,麻場,麻塲,淺羽,淺葉
あさばたけ	麻畠
あさばやし	浅林
あさひ	㬢,阿佐比,旭,旭日,浅日,浅比,浅樋,朝火,朝輝,朝日,朝比,朝飛,朝陽,淺日
あさひおか	旭岡
あさひだ	旭田
あさひな	旭奈,旭南,浅雛,朝夷,朝雛,朝日向,朝日奈,朝日南,朝比奈,淺雛
あさひや	旭谷
あさひろ	浅広,浅弘,朝広,朝弘,朝廣,淺弘
あさふじ	朝藤
あさぶ	朝生,麻生
あさぶき	朝吹
あさぶし	朝武士
あさべ	阿佐部,浅部,浅辺,浅邉,朝部,朝辺,朝邊,麻部,淺部,淺邊
あさほ	浅保,朝穂,朝穗,麻保
あさほり	浅堀,朝堀,淺堀
あさま	浅間,浅摩,浅磨,朝間,朝馬,淺間
あさまち	朝町
あさまつ	浅松,朝松,淺松
あさみ	阿佐見,阿佐美,阿左見,阿左美,浅海,浅見,浅美,浅味,朝海,朝見,朝三,朝美,朝民,淺海,淺見,淺美
あさみず	浅水
あさみつ	朝光
あさみどり	朝緑
あさむら	浅村,朝村,麻村,淺村
あさめん	浅面
あさもと	浅元,浅本,朝元,朝本,麻元,麻本,淺本
あさもり	浅森,朝守,朝森,麻森,淺森
あさや	浅谷
あさやま	浅山,朝山,麻山,淺山
あさり	漁,浅利,浅理,浅里,朝利,朝里,麻里,淺利
あさわ	阿沢,浅輪,浅和,朝和,麻和,淺輪
あさわか	浅若
あざかみ	阿坐上,阿座上,呰上
あざがみ	安座上
あざごえ	浅越
あざま	阿座間,安座間
あざみ	阿佐美,阿左美,芥生,執見,生明,浅見,莇,薊
あざみた	莇田
あし	芦
あしあらい	足洗
あしうち	芦内
あしお	芦生,芦尾,足尾,蘆尾
あしおい	芦生
あしおか	芦岡
あしか	足駕
あしかい	芦界
あしかが	足利
あしかり	葦苅,芦刈,芦苅,足刈,足苅,蘆刈,蘆苅
あしかわ	葦川,芦川,足川,蘆川
あしが	阿志賀
あしがき	芦垣,足垣
あしがや	芦ヶ谷
あしき	足木
あしきた	芦北
あしくぼ	芦久保
あしぐち	芦口
あしさき	芦崎
あしさこ	芦硲
あしざき	芦崎
あしざわ	葦沢,葦澤,芦沢,芦澤,足沢,葭澤,蘆沢,蘆澤
あしずみ	芦住
あした	芦田
あしたか	芦髙,芦高,足髙,足高
あしたがわ	芦田川
あしたて	芦立
あしたに	阿志谷,葦谷,芦谷,芦硲,足谷,蘆谷
あしだ	葦田,芦田,足田,疋田,蘆田
あしだて	葦立,芦舘,芦立,足建,蘆立
あしつ	葦津
あしづ	葦津,芦津
あしづか	芦塚
あしとみ	安次富
あしな	阿品,葦名,芦名,足名,蘆名
あしなか	芦中
あしなざわ	芦名澤
あしぬま	芦沼
あしの	葦埜,葦野,芦野,足野,蘆野
あしはら	悪原,葦原,芦原,足原,蘆原
あしば	芦場,芦葉,足羽,足場,葭場
あしばやし	芦林
あしばら	芦原
あしぶ	芦部
あしべ	芦倍,芦部,芦辺,芦邊,芦邉,足部,蘆邉
あしま	芦間
あしみね	安次嶺
あしむら	阿師村,芦村,足村,蘆村,蘆邨
あしもと	芦本
あしもり	芦森,足守,足森
あしや	芦谷
あしやま	芦山
あしわ	足羽
あしわけ	芦分
あしわら	芦原
あじ	阿字,阿治,阿路,安治,庵治,網師
あじおか	味岡
あじか	味香
あじかた	味方
あじかわ	阿路川,鯵川,安治川,庵治川,鰺川
あじき	阿式,安喰,安食,味木
あじぐち	味口
あじさか	鯵坂,味坂,鰺坂
あじさわ	味沢,味澤
あじし	味志
あじた	味田
あじたに	味谷
あじち	阿字地,阿慈知,阿慈地,阿地知,安持地,安次知,安父,兄父,味地
あじつ	安室
あじと	味戸
あじとみ	安次富,安次冨,味富
あじな	阿品
あじま	阿島,阿嶋,安島,安嶋,安嶌
あじみ	安心院
あじみね	安次嶺
あじむ	安心院
あじむら	味村
あじもと	味本
あじゃり	阿舎利
あじやま	味山
あじろ	安城,安代,綱代,足代,網代
あすか	安宿,飛鳥
あすかい	飛鳥井
あすかた	飛鳥田,飛鳥方
あすかま	飛鳥間
あすけ	足助
あすま	阿須間,飛鳥間,飛鳥馬,遊馬
あすみ	阿隅
あすやま	明日山
あすわ	阿諏訪
あずい	安随
あずき	小豆
あずきさわ	小豆沢,小豆澤
あずきざわ	小豆沢,小豆澤
あずきの	小豆野
あずせ	東瀬
あずはた	小豆畑
あずま	阿妻,阿萬,安都間,我妻,吾㛏,吾妻,四,四阿,東,東間,東妻,東真
あずまい	東井
あずまいし	東石
あずまうち	東内
あずまかわ	東川
あずまがいと	東垣外
あずまだ	東田
あずまね	東根
あずまの	東野
あずまみ	東見
あずまや	東屋,東谷
あずみ	阿住,阿澄,阿曇,阿墨,安雲,安海,安見,安住,安厨味,安棲,安積,安曇,吾住,東海
あせ	阿瀬
あせち	阿世知,阿瀬知
あせみ	阿瀬見
あぜ	畦
あぜうら	畦浦
あぜかわ	畔川
あぜがみ	畔上
あぜくら	畦倉
あぜこし	畔越
あぜざき	畔崎
あぜた	畦田,畝田,畔田
あぜたか	畔高
あぜち	阿世知,阿瀬知,阿卋知,安瀬地,按察,畦知,畦地,畦智,畦池,畝地,畔地,疇地,畴地
あぜつ	畔津
あぜはら	安瀬原,畦原,畔原
あぜまち	畦町
あぜもと	畦元,畦本,畝本,畔元,畔本
あぜやなぎ	畦柳,畔栁,畔柳
あそ	阿曾,阿曽,阿蘇,阿蘓,安曽,安蘇,安蘓,麻生
あそう	阿宗,阿曽宇,阿曽生,阿曽尾,阿相,阿聡,安双,安相,安増,安雙,浅生,朝生,麻生,淺生
あそがわ	麻生川
あそたに	阿蘇谷
あそだ	阿曾田,阿曽田,阿僧田,安曽田,遊田
あそぬま	阿曽沼
あそべ	遊部
あそや	安蘇谷
あそん	阿孫
あた	阿多
あたいがわ	安宅川
あたえ	与,與
あたか	阿高,阿鷹,安髙,安高,安宅,恰
あたかやま	安宅山
あたがわ	阿田川
あたぎ	阿田木,安宅,能木
あたく	阿宅
あたぐち	阿多口
あたけ	阿竹,阿武,安宅
あたご	愛宕
あたち	足立
あたみ	熱海
あたら	新
あたらし	新,新子
あたらしや	新屋
あたり	阿多利,中,当,當
あだがわ	阿田川
あだち	阿太地,阿達,阿逹,芦達,芦立,安館,安達,安立,安逹,足昇,足達,足立,足逹,足曻,明立
あだちはら	足立原
あだにや	安谷屋
あちおく	東奥
あちは	阿知波,阿知破,阿知葉
あちば	阿知葉
あちゃ	阿茶
あちら	阿知羅,阿知良
あちわ	阿千輪,阿知波,阿知和
あぢき	安食
あぢさか	鰺坂
あっそ	且来
あっぱり	遖
あつ	阿津,厚
あつい	厚井
あつうみ	厚海
あつうら	厚浦
あつかわ	阿津川,渥川,厚川,熱川
あつがせ	厚ケ瀬,厚ヶ瀬
あつき	阿月,安月,厚喜,厚木
あつぎ	厚木
あつさわ	敦澤
あつざわ	阿津沢,阿津澤,厚沢,厚澤
あつし	圧司,厚,厚志,篤,敦
あつしば	厚芝
あつじ	阿辻,阿閉,厚治,厚地
あつた	厚田,敦田,熱田
あつち	圧地,厚地
あつぢ	厚治,厚地
あつはた	安津畑
あつみ	握美,渥海,渥見,渥実,渥美,渥味,渥實,安海,安津見,温海,厚海,厚見,厚美,厚味,敦見,熱海,熱見
あつむら	厚村
あつめ	厚目
あつも	厚母
あつや	厚谷
あつわた	厚綿
あづ	阿津
あづきざわ	小豆澤
あづた	吾田
あづち	阿津地,安土,足土
あづま	阿妻,阿津磨,阿都間,安妻,我妻,吾妻,四阿,新妻,東,東吾,東妻,東生,東都
あづみ	阿積,安海,安積
あてんぼう	阿天坊
あでかわ	阿出川
あでがわ	阿出川
あと	阿戸
あといで	後出
あとう	阿藤
あとうだ	阿刀田
あとがみ	後上,後神,跡上
あとぐち	後口
あとじ	阿閉,阿閇,跡治,跡地
あとだ	阿刀田
あとの	後野
あとはら	後原
あとべ	後部,後辺,跡部,跡辺,跡邊,跡邉
あとみ	跡見
あとやま	後山
あとろ	後路
あど	阿戸
あどう	網頭
あない	穴井
あなお	穴生,穴太
あなおり	穴織
あなかぜ	穴風
あながま	穴竈
あながわ	穴川
あなくぼ	穴久保
あなくら	穴倉,穴蔵
あなぐち	穴口
あなぐら	穴蔵
あなざわ	穴沢,穴澤
あなしげ	穴繁
あなせ	穴瀬
あなた	英
あなたに	穴谷
あなだ	穴田
あなち	穴地
あなとり	穴鳥
あなはら	穴原
あなばら	穴原
あなぶき	穴吹
あなほ	穴穂,穴穗
あなみ	阿南,穴見
あなみず	穴水
あなみつ	穴光
あなもと	穴本
あなやま	穴山
あなん	阿南,穴南
あにい	兄井
あにや	阿仁屋,阿仁谷,安仁屋,喜友名
あねかわ	姉川
あねがわ	姉川
あねさき	姉崎
あねざき	姉崎
あねたい	姉帯
あねは	姉歯
あの	亜野,阿野,穴太,吾野
あのう	阿納
あのたに	安野谷
あのだ	安濃田
あはごん	阿波根
あはら	阿原
あはれん	阿波連
あば	阿波
あばさき	阿波嵜
あひこ	阿彦,安彦
あびき	網引
あびくら	阿比倉
あびこ	阿美古,阿彦,安我子,安孫子,安彦,我孫子,吾孫,吾孫子,神孫子,鮑子
あびの	阿比野
あびる	亜比留,阿比留,阿比畄,阿蒜,阿蛭,安比留,安蒜,我蛭,畦蒜,畔蒜
あふそ	阿富祖,安富祖,安冨祖
あぶ	阿武,安封
あぶえ	虻江
あぶかわ	虻川
あぶき	阿吹,阿武木
あぶく	安福
あぶつか	鐙塚
あぶの	阿武野
あぶみ	阿踏,鎧,鐙
あぶみや	鐙屋,鐙家,鐙谷
あぶら	油
あぶらい	油井
あぶらいし	油石
あぶらかわ	油川
あぶらき	油木
あぶらざ	油座
あぶらた	油田
あぶらたに	油谷
あぶらだ	油田
あぶらの	油野
あぶらもと	油本
あぶらや	油屋,油家,油谷,油矢
あべ	阿倍,阿陪,阿武,阿部,阿閉,阿辺,阿邊,阿邉,安倍,安陪,安部,安辺,安邊,安邉,茶房
あべい	安部井
あべかわ	阿部川,阿辺川,安倍川,安部川
あべき	あべ木,猜木,棈木
あべくら	阿倍倉,阿部倉,安部倉
あべた	阿部田,安部田
あべまつ	（木へんに青）松,あべ松,アベ松,阿部松,安倍松,安部松,楕松,猜松,棈松
あべやま	阿部山,阿辺山,阿邊山,阿邉山,安部山,猜山
あぼ	阿保,阿母,安保,英保
あぼう	阿保,安保
あぼし	網干
あぼたに	阿保谷
あぽ	阿保
あま	阿万,阿萬,安満,天,尼
あまい	天井
あまいけ	雨池,甘池,天池
あまいざわ	天井澤
あまいし	天石
あまいわ	天岩
あまう	天羽,天雨
あまうち	雨内
あまえ	天江
あまお	天尾
あまおおの	天王野
あまおか	甘岡,天岡,天岳,尼岡
あまかい	雨海
あまかす	甘糟,甘粕,天春,天粕
あまかた	天方
あまかわ	阿間川,雨川,甘川,天河,天川,尼川,塰河,塰川
あまかわや	天川谷
あまが	天賀
あまがい	雨ケ谷,雨ヶ谷,雨海,雨貝,雨甲,雨甲斐,雨谷,天ケ谷,天下井,天下谷,天海,天貝,天谷
あまがさ	天笠
あまがさき	尼崎
あまがす	甘粕,天春,天粕
あまがせ	天ヶ瀬
あまがた	天形,天方,尼形
あまがや	天賀谷
あまがわ	天川
あまき	雨木,甘城,甘木,天基,天鬼,天城,天毎木,天木,尼木,味木
あまぎ	天気,天城,天毎木,天木,尼義
あまぎし	天岸
あまくさ	甘草,甘艸,天草,天艸
あまくに	天國
あまくら	天倉
あまこ	阿間子,天児,天小,天兒,尼子
あまこし	雨越
あまごおり	雨郡
あまさ	甘佐
あまさか	雨坂,天坂,天阪
あまさき	甘﨑,甘崎,天﨑,天崎,天嵜,尼﨑,尼崎,尼嵜
あまざき	甘崎,天崎
あまざわ	天沢
あました	天下
