あいすけ	愛育
さとる	羽,叡,覚,暁,啓,慧,吾,恒,鴻,済,識,竣,晶,照,聖,聡,知,智,渡,敏,優,憂,楊,利,理,了,梁,瞭,諒,領,輪,励,侑,彗,惺,惺琉,憬,脩,諄
さねやす	実恭
さねゆき	実恭
しげき	栄輝,慈稀,樹希,誉希
しげる	卯,栄,子,慈,樹,垂,成,蒼,林
しせい	史生,志生,詩生
しゅう	守,珠,珠生,種,寿,周,秋,充,将,尚,星,柊,優,悠,翔,脩
しゅうき	柊月
しゅうさく	柊咲
しゅうと	周音,秋音,柊音
しゅうや	柊也
しゅんと	春翔,竣音
しゅんや	春弥,春陽
しょあ	翔空
しょう	咲,勝,匠,将,尚,彰,昌,昭,晶,渉,照,祥,章,証,政,星,正,清,生,聖,青,爽,葉,惺,晟,翔,翔羽
しょうあ	星空,翔亜,翔愛,翔空,翔明
しょうい	聖生
しょうおん	星音,翔音
しょうき	勝己,尚樹,星樹,聖生
しょうご	聖心
しょうせい	星成
しょうた	星樹
しょうと	翔音
しょうや	咲陽
しょうよう	青葉
しよう	詩桜
しりゅう	士琉
しんかい	真海
しんき	心輝,心綺,真樹
しんげん	真言
しんすけ	真佐
しんた	新太,真大
しんと	心音,真都,真翔
しんば	真波
しんや	真弥,眞弥
じおん	士恩,志温,志穏,志音,紫音,慈恩,慈温,慈穏,時音
じゅん	絢,淳,潤,純,惇,隼,洵,詢,諄
じゅんき	絢稀,淳喜,淳希,淳紀,淳貴,淳輝,淳樹,純希
じゅんせい	淳生
じゅんと	淳貴
じょう	允,丈,情,穣,譲,澄,成,星,晴,誠,青,朝,佑,晟
じん	心,真,神,臣,人,仁,尋,尽,忍,稔
すぐる	逸,英,克,俊,駿,勝,優
すすむ	步,一,右,益,享,航,行,皐,将,歩,侑
すばる	羽,昂,翼
せいあ	星空,青空,静空
せいき	世紀,星稀,星樹,聖來
せいご	晴心
せいしん	晴心,聖心
せいじ	誠実
せいじゅ	星樹
せいた	星多
せいと	成都,星音,清永
せいは	星波,青羽,青生,青波
せいや	成弥,晴弥,青空
せいよう	晴陽
せいりゅう	成流,晴流,晴琉,惺琉
せいん	晴心
せかい	宇宙,成海
せんと	千都,千翔
ぜん	泉,禅
そうい	蒼惟,蒼生
そうが	奏芽,奏楽,奏翔
そうき	想來,蒼希,蒼輝,蒼月,蒼樹,蒼生
そうし	蒼志,蒼紫,蒼翔
そうじ	蒼志
そうじゅ	蒼樹
そうすけ	奏空,奏良,想空,蒼空,颯空,颯良
そうせい	奏生,蒼晴,蒼生
そうた	奏空,奏多,奏汰,蒼空,蒼樹
そうと	奏音,奏斗,奏翔,蒼都,蒼翔
そうる	心,奏瑠
そらき	空葵,空希,空輝,空来,昊輝
そらと	空音,蒼空,天翔
そらや	空哉
たい	成,太,汰,泰,大,諦,敦
たいかい	大海
たいが	虎,大海,大翔
たいき	敦基,敦希,敦貴,敦己
たいし	大翔,敦志
たいしょう	大翔
たいしん	太真
たいすけ	大空
たいと	大翔
たいよう	太陽,大陽
たいら	成良
たかき	貴己,空輝,昂希,香樹,鳳希,誉希
たかし	貴,京,喬,恭,仰,敬,憲,孝,昂,剛,皐,充,俊,峻,竣,駿,尚,聖,誠,仙,尊,太陽,鷹,天,万,誉,隆,梁,穹
たかと	生斗,天翔,和杜
たかなり	陽成
たかはる	貴春
たかひろ	宇宙,万博,雄大,理大
たかやす	太陽
たから	貴羅,空良,聖,誠良,大空,朗良
たく	樹来,匠,大空,拓,櫂
たくお	拓生
たくき	拓生
たくと	揮,奏音
たくみ	伎,功,匠,匠美,拓,拓海,拓生,拓未
たけお	雄大
たけし	威,英,健,剛,嗣,士,丈,尊,大,竹,武,勇,雄,洸
たけと	雄飛
たけひろ	雄大,雄陽
たけまさ	雄大
たけよし	剛美,武美
たける	威,健,剛,尊,武,雄
たすく	祐,匡,伍,佐,賛,将,相,比,佑,祐,翼,亮,侑
ただお	直生,唯央
ただし	維,嘉,雅,覚,紀,規,義,匡,憲,将,真,仁,政,正,聡,旦,直,唯,理,律
ただひろ	理大
ただよし	一慶,正美
たつ	健,幸,立,龍
たつお	樹生
たつき	幸希,樹,樹葵,樹希,樹季,樹紀,樹生,樹来
たつひさ	樹央
たつみ	樹,樹実,颯海
たつる	樹,立
たもつ	惟,維,寿,将,保,方,有
だいと	大翔
だいや	太陽,大陽
だん	旦,暖,南
ちかし	愛,史,周,睦,悠
ちかと	愛斗,哉翔
ちから	気,主
つとむ	義,勲,薫,功,司,惇,敦,敏,励
つよし	威,幹,健,剛
てつ	鋼
てるお	輝央,輝音,輝生
てるかず	輝和
てるき	輝生,光希
てると	晴翔
てるとし	光利
てるまさ	輝優
てるやす	輝和
てるよし	照美
てんしょう	天翔
てんと	天翔
とうあ	永愛,永空,斗亜,斗愛,斗空,橙空
とうい	叶海
とうじ	燈路
とうわ	永和,十和,斗環,斗和,登羽,登和,冬和,透羽,透和,瞳和,橙羽,橙和
とおい	悠生
とおや	悠陽,遥弥,遥陽
とおる	亨,享,公,済,至,澄,太,泰,暢,透,博,明,龍,亮,亘
とき	季,暁,斎,士葵,時,秋,春,信,仁葵,仁希,仁稀,仁輝,仁樹,世,睦,隆,林,怜,朗
ときお	季於,季央,季生
ときと	時音
ときまさ	日雅
としあき	都明,理央
としお	季生,利生
としおみ	利臣
としかず	星和
としき	穏季,紀生,寿喜,寿希,寿稀,寿貴,寿樹,淳貴,聖生,利生
としたか	寿貴,勇貴
としのぶ	寿喜
としひろ	季央
としみつ	紀美,寿美,利美,和美
とむ	叶夢,富
ともあき	智陽,朝陽,友陽
ともかず	友和
ともき	朝葵,朝喜,朝希,朝稀,朝輝,朝生,那葵,睦葵,睦喜,睦希,睦樹,睦生,和葵,和希,和季,和稀,和紀,和輝,和樹
ともさと	友理
ともたか	朝陽
ともつぐ	智世
ともてる	朝輝
ともなり	朝生
ともはる	大陽,知治,知春,知晴,知悠,智春,智晴,智暖,智悠,智遥,智陽,智遼,朝春,朝陽,友陽
ともひろ	友優
ともまさ	友優
ともみつ	朝光
ともや	大陽,智陽,友優,友陽
とよかず	豊和
とら	玄,虎,飛空
ないき	夢希
なおき	実紀,尚樹,真希,真樹,直,直生,凪生
なおし	尚,直
なおた	真大
なおたか	真貴
なおと	雫音,七音,真都,凪音,南音,波音,和音
ながれ	流
なぎと	凪音,凪都
なつお	夏生
なつと	夏都
ななお	七緒,七生
ななと	七音,七都,奏翔
なみと	波音
なゆた	星
なるき	愛稀,成月
なると	愛斗,成都,鳴海
なるとし	愛紀
なるや	成弥
のぞむ	のぞみ,希,希海,希観,希光,希実,希充,希生,希美,希望,望,望海,望実,望水,望美,望未
のぶお	信夫
のぶよし	誠良
のぼる	昂,升,伸,暢,朝日,登,徳,豊,陽
のりお	紀生
のりかず	令和
のりと	詞音
はじめ	一,基,紀,吉,啓,元,玄,哉,朔,始,治,春,初,新,素,大,朝,東,萌
はやお	駿
はやて	隼,颯
はやと	快都,速,隼,勇利,颯
はやぶさ	隼
はるあき	春陽,晴陽,暖陽,悠陽,遼陽
はるい	悠生
はるうみ	春海,晴海,悠海,遥海,陽海
はるお	暖陽,悠生,陽生
はるかず	日和
はるかぜ	春風,晴風,遥風,陽風,遙風
はるき	栄輝,開,希,桜生,春,春己,春妃,晴己,青生,日希,明葵,明希,明稀,明輝,明生,明来,悠生,悠利,陽葵,陽希,陽月,陽生,流生
はるく	青空
はるし	治,春,晴,遥
はるしげ	陽成
はるた	桜詩
はるたか	青空,大空
はると	絢登,桜音,桜翔,時音,治,春叶,春灯,春燈,春留,春翔,晴,晴叶,晴飛,晴留,晴翔,青音,大翔,暖灯,天翔,日翔,悠,悠叶,悠灯,悠歩,悠利,遥叶,遥飛,遥留,遥翔,陽,陽飛,陽翔,遼飛,翔,遙叶
はるとし	悠利
はるとも	悠燈
はるなり	陽成,陽也
はるひこ	晴良,陽光
はるひさ	春弥
はるま	春実,晴,晴実,遥実,陽海,陽実
はるまさ	桜雅
はるみつ	陽光
はるや	春弥,春陽,晴弥,晴陽,暖,悠耶,悠陽,遥弥,遥陽,陽也
はるよし	治美,春嘉,春美,晴美,晴良,知佳
はれる	晴,晴流,晴琉
はんじ	帆志
ばく	博,莫,麦
ひお	陽生
ひさあき	悠光,悠陽
ひさし	栄,永,央,久,九,恒,史,寿,十,尚,仁,富,弥,悠
ひさたか	久貴
ひさつぐ	悠世
ひさと	永都,央斗,久遠,悠利
ひさはる	悠陽
ひさや	悠陽
ひさよし	悠嘉
ひしょう	陽翔
ひで	栄,英,禾,薫,啓,寿,東
ひでかず	英一
ひでき	寿樹
ひでと	愛斗,一斗,一翔
ひでひと	英一
ひとき	一稀,一輝,一樹,仁稀,仁輝,仁樹
ひとし	一,雅,結,伍,恒,鴻,斎,寿,将,人,仁,彬,陸,倫,和
ひなた	太陽,優陽,陽,陽葵,陽翔
ひなと	陽飛,陽翔
ひのき	桧
ひゅうが	龍
ひらく	開,啓,拓
ひりゅう	陽琉
ひろあき	太陽,大陽
ひろうみ	宏海,広海,弘海,大海
ひろかず	優和,祐和
ひろき	栄輝,光希,光輝,弘己,紘輝,仁葵,仁希,仁樹,蒼樹,蒼生,拓生,優生,裕己,昊輝
ひろさと	裕吏
ひろし	宇宙,央,寛,啓,敬,宏,広,康,弘,浩,紘,鴻,史,潤,恕,仁,尋,蒼紫,太,泰,大,拓,宙,博,博巳,普,豊,悠,祐,裕,洋,廣,昊,洸,滉,熙
ひろたか	蒼空,大空
ひろと	央斗,央都,啓登,啓都,敬登,景斗,蒼都,蒼翔,大空,大翔,比呂,優利,裕利,雄大,陽
ひろとし	裕利
ひろはる	裕陽
ひろみち	裕理
ひろむ	拡,啓,宏,弘,恕,伸,大,拓,博,悠,裕,洋,熙
ひろや	寛弥,宏弥,太陽,大陽,優陽,祐陽,裕陽
ひろやす	裕保
ひろよし	弘美,博美
ふうい	風生
ふうが	舞
ふうき	楓月,風生
ふとし	太,大
ふみあき	郁輝
ふみお	史生,文生
ふみき	史希
ふみたか	文貴
ふみと	史,史音
ふみはる	史温
ふみや	郁,和弥
ふみやす	史穏
ほうせい	逢生
ほしき	星稀,星樹
ほしと	星音
ほたか	歩貴
ほだか	空
まいと	舞音
まおと	真音,舞音
まさあき	優空
まさうみ	正海
まさお	真央,理生,理夫
まさかず	真寿,優和
まさき	一輝,栄輝,勝己,尚樹,真希,真貴,真己,真樹,仁葵,仁希,仁輝,聖生,誠月,優生,理生
まさし	一,允,雅,匡,将,昌,真,仁,成,政,正,方,礼,禮
まさたか	真貴,大空,優空
まさちか	仁悠
まさてる	真陽
まさと	一斗,一翔,雅仁,真音,真大,真都,真翔,大翔,優利,理仁,理杜,理都,理翔,和音,晟
まさとし	真寿
まさとも	真大,優友
まさはる	真陽,仁悠,優陽,理陽
まさひと	雅仁,理仁
まさひろ	真央,真寛,真啓,真宏,真広,真弘,真紘,真尋,真大,真博,真優,真裕,真洋,理央,眞啓,眞弘,眞優
まさみつ	雅美,政美,正美,優光
まさむね	真心
まさや	一也,真弥
まさよし	雅美,将美,昌美,真嘉,政美,正美,聖良,優良
まさる	羽,叡,瑛,英,果,雅,覚,健,恒,甲,鴻,克,最,済,俊,竣,潤,勝,将,昌,晶,照,誠,増,多,大,暢,渡,万,優,憂,楊,理,了,梁,瞭,輪,励,侑,洸,諄
ましゅう	麻柊
まなき	愛希,愛稀,愛貴,愛輝,愛樹,真樹
まなと	愛永,愛音,愛叶,愛空,愛大,愛斗,愛登,愛都,愛翔,真音,真心,真大,真都,真翔
まなぶ	覚,渉
まなむ	愛夢
まなや	真弥
まもる	葵,憲,司,士,守,保,翼
みきお	樹央,樹生
みきと	未来翔
みくと	未来翔
みちお	理夫,陸央
みちと	理仁,理都
みちひと	理仁
みちひろ	理大
みつあき	光輝
みつき	海月,観月,光希,光紀,光輝,光月,光樹,光来,三月,実紀,実月,充月,心月,深月,水月,生月,誠月,美月,碧月,巳月,明葵,明希,明輝,弥月,弥來
みつてる	光輝
みつとし	光紀,光利
みつのり	光紀
みつひさ	満寿
みつよし	光美
みつる	允,光,光流,光琉,光留,光瑠,在,充,十,暢,富,冨,満
みなと	奏音,南音,湊
みのる	季,実,秋,升,穣,成,登,農,穂,豊,稔,利
みんと	明飛
むう	夢羽
むく	椋
むねちか	志信
むねのり	至紀
めいと	明飛
もとい	幹,基,元
もとき	一葵,一輝,幹,基,志葵,志季,志紀,志樹,初樹,心輝,心綺
もとし	基,元
もとなお	素直
もとはる	一晴,心温
もとむ	志,素,要,亘
もり	杜
やすお	安央,安生,寧央
やすき	安生,穏,慈貴,保希
やすし	安,易,恭,康,寿,仁,静,泰,寧,保,和
やすと	愛斗,叶人,恵人,恵斗,慶斗
やすとし	安利
やすのり	安紀
やすひさ	安久
やまと	大翔,倭,和
ゆいき	結生
ゆいと	維央,結音,結弦,結絃,結寿,結友,優弦,友弦,由弦,由絃,夕弦
ゆうい	結生,優一,優生,悠生,侑生
ゆういち	優一
ゆうが	佑和,優和,悠嘉
ゆうき	結生,優,優生,勇貴,悠生,悠妃,有利,柚葵,柚喜,柚希,柚貴,柚輝,柚樹,柚暉,祐李,裕己,雄大,侑生
ゆうく	優空
ゆうげん	結弦,結絃,優弦,友弦,由弦,夕弦
ゆうこう	優光
ゆうご	佑心
ゆうし	友士
ゆうしょう	悠生,有翔
ゆうしん	佑心,有真
ゆうすけ	結友,優友,友佑,悠右,有理
ゆうせい	結生,優生,悠世,悠生,柚生,侑生
ゆうそう	優想
ゆうた	佑多,佑汰,優汰,雄大
ゆうだい	優汰,雄大
ゆうと	結音,結友,佑和,優,優灯,優燈,優飛,優友,優利,優和,勇,勇利,宥利,悠叶,悠灯,悠利,有利,有翔,由絃,祐利,祐和,裕利,雄飛,侑燈,侑利,侑和
ゆうま	友優,有真
ゆうや	結陽,佑,優安,優陽,勇陽,友優,友陽,悠耶,悠陽,由陽,夕陽
ゆきお	志央,侑生
ゆきかず	侑和
ゆきなり	倖生,幸慈,侑生
ゆきのぶ	志信
ゆきはる	詩温,千榛,千陽
ゆきひさ	維央
ゆきひろ	千弘,千紘,千博
ゆきまさ	千聖
ゆきや	千弥,透
ゆきやす	幸穏
ゆずる	弓弦,弦,恒,穣,譲,禅
ゆたか	温,寛,浩,最,穣,泰,大,富,豊,稔,優,優理,優良,勇貴,悠,悠右,悠宇,悠生,悠陽,柚貴,由理,祐,裕,雄飛,洋,隆
ゆめき	夢希
ようき	陽希
ようこう	陽光
ようせい	陽世,陽成,陽晴,陽生,瑶生
ようた	桜詩
ようと	遥翔,陽翔
ようや	陽也
よしうみ	美海
よしお	愛生,美央
よしかず	愛和,佳寿,喜和,仁和,令和
よしき	愛希,愛稀,愛紀,愛輝,愛樹,愛生,愛絆,伊玖,栄輝,佳紀,貴己,圭希,恵喜,恵輝,慶樹,幸希,慈貴,寿希,純希,仁葵,仁希,仁稀,睦紀,理生,和生
よしちか	仁愛
よしてる	譲輝
よしと	愛斗,愛翔,佳采,佳寿,慶音,慶斗,慶都,慧斗,桂都,理仁,和采
よしとも	雄大
よしのぶ	愛喜
よしのり	佳紀,美則,美徳,和紀
よしはる	快晴,慶春,仁悠,由陽
よしひさ	愛久,佳寿
よしひろ	愛大,理央
よしまさ	由優
よしや	令和
よしゆき	誉礼
よりと	和杜
らいあ	來空
らいが	愛翔,雷華
らいと	輝,月,光,星,来翔
らいや	来弥
らく	楽,樂
らんま	藍真
りいち	吏都,李都,俐都
りおう	利旺,吏央,吏桜,李旺,李凰,梨央,理央,理王,理桜,理生,璃央,璃旺,璃桜,琳王,麗央,俐央,凛旺,凛王,凛桜,莉央,莉桜,莉大
りおと	利音,吏音,李音,梨音,理音,璃乙,璃音,里音,涼音,俐音,凛音,莉音,凜音
りき	利生,理生,璃生,陸希,俐生,莉生
りく	希望,碧空,歩斗,歩来,睦,陸,琉空,涼,六,颯
りくお	睦生,陸央
りくき	陸希
りせい	利生,理生,莉生
りた	理大,莉大
りつき	梨月,凛月,莉月
りつと	律都
りひと	梨仁,理仁,莉仁,莉都
りゅう	立,流,琉,琉羽,琉生,留,隆,龍,瑠,瑠生,颯
りゅうあ	琉亜,琉愛,琉雅,琉空,隆愛,瑠亜,瑠空
りゅうい	流衣,琉以,琉維,琉生,琉唯
りゅうが	琉雅,琉海,琉翔,瑠夏
りゅうき	流生,琉葵,琉生
りゅうく	琉空
りゅうしょう	琉翔,瑠翔
りゅうせい	流生,琉生,留生,瑠生
りゅうぞう	琉翔
りゅうと	琉音,琉叶,琉翔,瑠翔
りゅうひ	瑠一
りゅうま	琉雅
りょうき	綾希
りょうせい	怜生,玲生
りょうと	涼音,遼飛,澪音
りょうま	稜稀
りょうや	諒陽
りょお	凌央
りょく	緑
りんせい	凛生,凛青
りんと	綾音,梨音,梨仁,梨斗,梨都,梨翔,琳音,凛音,凛采,凛兎,凛都,莉翔,凜音
るいき	琉生
るいと	琉愛,琉翔,瑠,瑠愛
るうく	瑠空
るお	琉音
るおん	琉音,瑠恩
るき	流生,琉葵,琉生,瑠生
るきあ	流愛,琉愛,瑠空
れいき	玲希,玲貴,玲樹
れいと	澪音,澪都
れいや	莉陽
れお	獅,伶生,嶺緒,怜生,玲生,零,麗愛,麗央,麗生,蓮音,澪音
れおと	蓮音,澪音
れおん	雨音,獅音,蓮音,澪音,莉央
れき	玲紀
れのん	蓮音
れんき	怜生
れんせい	怜生
れんと	琉翔,蓮音
ろい	路易
ろう	稜,朗
わく	湧
わこう	和幸
わたる	径,恒,航,済,渉,渡,弥,和,亘
