あいか	愛雅,愛叶,愛輝,愛蘭,愛和,愛絆,愛翔,葵花,和奏
みう	愛生,華,海空,海生,珠生,南生,美愛,美音,美海,碧海,望海
みうな	美海
みうみ	美海
みえ	美愛,朋
みおね	澪音
みおり	泉織
みおん	海音,実音,心温,心穏,心音,美音,美響,澪音
みか	海蘭,瑳,心輝,聖夏,美愛,美海,美蘭,明佳
みき	海生,海来,海來,幹,光希,光紀,光樹,実紀,実来,珠希,珠季,珠貴,珠輝,珠樹,樹,心輝,心綺,瑞樹,泉利,泉李,美響,美来,未来,未來
みく	愛空,海空,海来,海來,光来,三來,実来,実來,初音,心來,美来,美來,望来,望來,未来,未來,未徠,明来,弥来,弥來
みくり	未来,未來
みくる	愛来,海來,光来,実来,実來,心來,美来,美來,望来,望來,望徠,未来,未來,弥来,弥來
みこ	実来,実來,美己,美來,望來,未来,未來,弥來
みこと	光理,真琴,真采,尊,満寿,未来翔,命
みさ	仁彩,明桜
みさき	彩桜,咲
みさと	海里,京,光里,実里,泉里
みすず	海鈴
みずき	瑞,瑞季,瑞月,瑞樹,瑞生,聖,泉巳,美月,美津希,望
みずほ	泉帆
みそら	海空,生空,都空,碧空,穹
みち	紀,亨,享,径,慶,玄,光,充,恕,宙,途,芳,満,理,倫,路
みちか	海央,仁愛,美愛
みちる	光,光留,光瑠,充,満
みつみ	光海,光美
みと	海音,桜音,実音,心音,南音,美音,望都
みどり	翠,碧,緑
みね	海音,実音,心音,美音,峯,嶺
みのん	海音,実音,美音
みはる	光美,光流,史温,珠美,心温
みひろ	海央,海洋,美央
みほ	海帆
みみ	光美,美海,望未
みや	愛,雅,都
みやこ	京,都
みやび	雅,雅実,雅美,美
みゅう	海
みゆ	音羽,希優,結,心,美愛,満優,由
みゆう	幸羽,仁悠,満優
みゆき	幸,未来
みよ	光美
みり	海李,海理,海璃,海里,海凛,海莉,光李,光梨,光理,光里,光凛,光莉,桜莉,実理,実里,実俐,実莉,珠李,珠梨,泉里,里
みる	光流,光留,珠琉,心月
みるく	未来
みれい	海礼,海麗,海莉,実莉,珠礼,美來,未来,麗生
みわ	愛和,実波,神,美愛,美波,弥波
むつみ	睦,睦己,睦生,和美
むむ	夢向
めい	愛,愛郁,愛音,愛生,愛来,葵,芽,海唯,恵生,五月,萌,夢,命,明,明彩,明生,鳴
めいあ	明空
めいか	明佳,明輝,明日
めいみ	明海,明生,鳴美
めぐみ	愛,恩,芽,恵,恵愛,恵生,慶,光,幸,慈,珠,珠美,仁,徳,穂,萌,惠,萠
めぐる	愛桜,愛来,愛琉,逢,環,周,明来,輪
めばえ	萌
めぶき	芽吹
めみ	萌
める	愛,愛月,愛琉,愛路
めろん	愛音
もあ	百和
もえ	朋,萌,萠
もえみ	愛咲
もとみ	素美
もな	百和
もも	杏,桜,桃,百,李
ももあ	李愛
ももか	百和
ももな	百和
ももね	李音
ももは	李生
もゆ	萌
やえ	陽咲
やこ	弥来
やすか	愛蘭
やすは	叶羽
やや	陽々
やよい	三月,春
やわら	和
ゆあら	結蘭
ゆい	惟,維,結,結禾,結生,夢,唯,優,優杏,優生,悠生,有李,柚衣,柚生,柚李,由,由絃,祐李,侑生
ゆいか	維栞,結禾,結蘭,結和
ゆいな	結生,結陽,結和,優和
ゆいね	結音,結禾,悠禾
ゆいは	結羽,由羽
ゆいほ	結帆,結歩
ゆいみ	結珠,結生
ゆいり	結有,結利,結吏,結李,結梨,結理,結里,結俐,結凛,結莉,結凜,彩希,悠梨,由李,由理,由莉
ゆうあ	結杏,結歩,優安,優杏,優雨,優空,優歩,優和,悠杏,悠海,悠歩,柚葵,柚杏,柚有,由歩,裕歩,侑杏
ゆうか	結禾,結蘭,結和,佑日,優海,優日,優和,悠佳,悠加,悠可,悠夏,悠珂,悠禾,悠華,悠叶,悠圭,悠日,悠楓,悠風,夕日,侑日
ゆうこ	優杏
ゆうな	結生,結梨,結和,夢月,佑和,優海,優生,優梨,優和,勇那,友和,悠夏,悠生,祐和,夕和,侑生,侑梨,侑和
ゆうね	結音,佑羽,優羽
ゆうの	結音
ゆうは	結羽,結生,佑羽,優羽,優陽,悠羽,柚羽,由羽,祐羽,裕羽,侑羽
ゆうみ	結生,佑海,優海,優光,優珠,優美,悠海,裕海,裕実,裕美,裕巳,侑海
ゆうゆ	結優,結友,優友,友優,由侑
ゆえ	華月,月
ゆか	夏,結蘭,結和,優桜,優和,悠佳,悠加,悠可,悠嘉,悠夏,悠珂,悠華,悠叶,悠楓,夕日
ゆかり	紫,由
ゆきあ	幸空
ゆきか	千翔,來果
ゆきな	倖生,千凪,透和
ゆきね	幸希,志音
ゆきの	志乃,千暖
ゆきは	幸羽,幸葉,雪羽,侑羽
ゆきほ	由歩,侑歩
ゆきみ	千弥,千洋
ゆさ	優桜
ゆずな	柚己,柚來
ゆずは	柚羽,柚生
ゆずほ	柚歩
ゆずゆ	柚友,柚有
ゆつき	夢月,唯月,柚月
ゆづき	惟月,水月,夢月,唯月,柚葵,柚希,柚季,柚稀,柚月
ゆづは	柚羽
ゆな	結音,結生,結梨,結和,夢,佑和,優海,優生,優梨,優和,勇那,友和,悠夏,柚來,祐和,夕和,侑和
ゆの	結音,夢希,柚希,絆
ゆのあ	優杏
ゆのは	結羽,柚羽
ゆのん	結音
ゆほ	結帆,結歩,佑穂,優歩,優穂,悠帆,悠歩,悠穂,柚歩,由歩,祐帆,祐穂,裕帆,侑歩
ゆま	有真
ゆみ	弓,結珠,佑海,優海,優光,優美,勇美,悠海,悠光,裕海,裕己,裕実,裕美,裕巳,侑海
ゆめは	夢羽
ゆゆ	結優,結友,柚友,由侑
ゆら	結羅,結蘭,結良,優楽,優空,優桜,優羅,優良,柚来,柚來
ゆり	結利,結吏,結李,結梨,結理,結里,結凛,結莉,結凜,佑李,佑梨,佑理,佑里,佑凛,佑莉,優利,優吏,優李,優梨,優理,優璃,優里,優俐,優凛,優莉,優凜,勇利,友吏,友李,友梨,友理,友璃,友里,友俐,友凛,悠浬,悠利,悠吏,悠梨,悠理,悠璃,悠里,悠流,悠凛,悠莉,有利,有李,有理,有璃,有里,有凛,有莉,柚吏,柚李,柚璃,柚里,柚凛,柚莉,由,由利,由李,由理,由璃,由里,由莉,祐李,祐理,祐璃,祐里,祐俐,祐莉,裕利,裕梨,裕理,裕璃,裕里,裕莉,夕梨,夕理,夕璃,夕里,夕莉,侑李,侑梨,侑理,侑璃,侑里,侑俐,侑莉
ゆりは	結羽
ゆりん	結梨,結琳,結凛,結凜,優凛,優凜,友凛,柚凛,夕凛
ようか	陽夏,陽香
ようこ	陽光,陽心
よしえ	佳依,佳衣,美愛,美徳
よしか	温佳,佳叶,喜花
よしこ	和子
よしの	愛音,佳音,慶音
よしみ	嘉,好,成美,美海,美己
よつば	幸葉
よりこ	愛来,和子
らな	星奈,蘭
らぶ	愛,愛夢
らみ	来夢
らむ	愛夢,夢,来夢,來夢,徠夢
らら	愛,愛空,愛桜,愛来,歌,月,詩,星來,來良
りあな	愛絆,絆愛
りあら	璃愛,琉愛
りい	彩生,利生,梨生,理生,玲衣,凛生,莉,莉愛,莉生
りいな	莉愛
りう	梨,理愛,璃生,麗羽,麗生,莉生
りえ	理愛,莉苑
りおな	凛桜
りおね	凛音,凜音
りか	李和,理翔,里桜,莉翔
りこ	莉杏
りさ	有桜,理桜,璃桜,里桜,凛桜,莉愛,莉桜,凜采
りせ	莉生
りな	李生,李和,梨杏,梨生,理愛,璃和,里和,凛和,莉央,莉生,莉和
りね	利音,梨音,理音,璃音,里音,凛音,莉音,凜音
りの	桜音,梨音,璃音,凛音,莉音
りのあ	理愛,璃愛,凛愛,莉愛
りのん	羽音,奏音,哩音,利音,吏音,李音,梨音,理温,理音,璃音,里音,琳音,凛音,莉音,凜音
りぶ	莉生
りほ	梨穂,理美,璃歩,莉穂
りま	璃麻,里麻
りみ	利美,理美,琉海
りゅうか	流嘉,流夏,流果,流歌,流花,流華,流香,琉嘉,琉禾,琉花,琉華,琉海,琉香,琉風,瑠夏,瑠香,瑠蘭
りゅうな	琉花
りょうか	涼風,遼佳,遼加,遼花,遼香
りよ	梨陽
りら	凛桜,莉愛
りり	優莉,有俐,理織
りりあ	凛愛,莉愛
りりい	莉愛
りる	愛琉,凛月,莉月
りわ	李和,璃和,里和,麗羽,凛和,莉和
りんか	梨月,凛和
りんな	凛愛,凛和
りんね	綾音,梨音,琳音,凛音,凜音
るいか	琉花,瑠花,瑠香
るうあ	琉愛
るうな	琉海,瑠夏,瑠海
るな	夏月,月,美月,流愛,琉愛,琉夏,琉生,琉和,留生,瑠,瑠愛,瑠夏,瑠和
るね	輝音,琉音
るの	光希,琉音
るのあ	琉愛,瑠愛
るのん	琉音
るり	光里,璃,瑠
るるな	琉愛
るん	楽,恋空
れあ	希,希愛,麗愛,恋空
れあん	莉杏
れいあ	麗愛,莉愛,莉杏
れいか	令和
れいさ	莉颯
れいな	令和,玲樹,麗愛,莉愛,莉月,莉和
れいね	澪音
れいは	麗羽,麗生
れいみ	莉生
れいら	麗愛,恋空,莉愛,莉桜
れいん	玲,澪音
れな	令和,伶生,玲生,麗愛
れの	玲希
れのあ	玲葵,麗愛,莉愛
れら	麗愛
わかな	羽哉,和奏
わこ	環来,和子,和心
