あいが	愛雅
あゆと	歩采,歩斗
あゆむ	步,渉,渉夢,歩,歩結,歩睦,歩夢,夢
あらし	新詩
あらた	新,新太
あらん	亜嵐,亜欄,亜藍,亜蘭,阿蘭,愛蘭,雅欄,空藍,空蘭,彩蘭
あり	在,有
ある	亜流,亜留,亜瑠,愛琉,空琉,有
あると	亜瑠翔,歩音,歩斗,有翔
あるま	有真
あれん	亜怜,亜恋,亜蓮,愛怜,愛恋,愛蓮,愛連,安恋,杏恋,杏蓮,空蓮,彩怜,彩蓮,明蓮,明連
あろは	亜呂波,有葉
あんじ	安紫,杏慈,晏慈
あんり	安利,安李,安理,安里,安莉,庵利,庵吏,庵李,杏利,杏吏,杏李,杏梨,杏理,杏璃,杏里,杏俐,杏莉,空纚,晏理,晏里
いあん	依杏
いお	庵,伊央,伊音,伊緒,伊織,伊生,依央,惟央,衣緒,一音,一桜,唯央,唯緒
いおり	庵,庵利,庵理,庵里,伊央理,伊央里,伊緒利,伊緒梨,伊緒理,伊織,伊織里,伊折,依央理,依央里,依緒理,依織,依栞,偉織,惟央里,惟織,維央吏,維織,維栞,衣緒理,衣織,一央莉,一桜里,一緒理,一織,祈織,五百里,彩織,糸織,生織,泉織,唯央莉,唯織,友士琉,李桜莉,李織,倭織,已織
いおん	伊隠,伊音,偉音,衣音
いく	伊玖,衣玖,育,郁,幾,行,生,生空
いくお	育央,育緒
いこい	憩
いさ	伊佐,衣砂
いさき	伊咲,勇貴
いさな	依真,勇魚,勇渚,勇那
いさみ	伊佐美,勲美,功美,勇,勇海,勇実,勇美
いしん	葦心
いずほ	出穂,泉帆
いずみ	伊純,伊澄,伊津美,伊豆実,伊豆美,依純,依澄,維澄,衣純,衣澄,一純,一澄,五巳,出海,出美,泉,泉海,泉見,泉己,泉実,泉水,泉澄,泉巳,唯純,和泉
いちと	一斗,一翔
いっさ	一咲,一茶
いっしん	一心
いっせい	一世,一聖
いっぽ	一歩
いつか	逸佳
いつき	伊月,依月,夷月,惟月,維月,衣月,衣津紀,一葵,一嬉,一希,一季,一稀,一紀,一輝,一月,一樹,一生,一綺,逸希,逸季,逸稀,逸紀,逸記,逸貴,逸輝,逸樹,逸姫,乙葵,乙希,乙稀,乙紀,乙樹,五喜,五紀,五貴,五月,五生,伍葵,伍紀,伍月,伍姫,済,斎,慈稀,慈貴,樹,樹葵,樹希,樹季,樹紀,生月,泉月,唯月,稜基,稜稀,稜己
いつは	一葉,逸葉,五葉
いつほ	逸穂
いづる	伊弦,伊鶴,依弦,維弦,維鶴
いのり	依典,祈,祈李,祈梨,祷,祷李
いふう	威風,彩風
いぶ	伊武
いぶき	伊吹,伊吹樹,伊葺,伊歩希,伊颯,依吹,依蕗,惟吹,維吹,衣吹,一吹,一蕗,一歩希,一颯,芽吹,彩吹,生吹,泉吹,息吹,夢希,颯
うきょう	羽杏
うしお	汐,潮
うた	宇多,羽多,羽太,羽汰,羽泰,唄,詠,歌,雅楽,吟,詩,佑多,佑汰,優汰
うみ	宇海,羽海,羽観,羽珠,雲海,海,海生,胡海,蒔実,生深,生望,碧海,佑海,佑心,佑望,優海,憂海,洋,侑海
うみお	海央,海生
うるは	潤羽,潤巴,麗,麗羽
えい	映,永,泳,瑛,英,詠
えいいち	英一
えいき	栄輝
えいじ	瑛治
えいち	叡智
えいと	永都,英音
えいる	瑛琉,英琉,英瑠,詠瑠
おうが	桜芽,桜雅
おうじ	桜侍,桜慈
おうせい	桜成,桜星
おうた	桜詩
おうま	桜舞
おうら	桜羅,桜蘭,桜良,凰羅
おおぞら	大空
おさむ	治,理
おと	愛都,韻,央采,央斗,央都,乙,乙音,乙翔,音,音采,音斗,音都,音橙,音翔,響,絃百,桜音,桜都,桜翔,竣音,緒仁,緒斗,緒杜,緒都,織都,律,和音,和采,和杜
おとや	乙矢
かい	佳以,佳伊,佳依,佳衣,加依,加衣,嘉惟,夏依,夏惟,夏維,夏衣,禾唯,花依,花衣,華依,華衣,会,快,懐,海,海唯,絵,貝,圭依,甲斐,香依,香衣,櫂
かいあ	快空,海亜,海杏,海空,皆亜
かいせい	快晴,快誠
かいと	夏弦,快都,海絃,青音
かいほ	海帆
かいや	海也
かいら	海羅,海来,海良,海來
かいり	加衣里,快李,快梨,快璃,快里,快凛,快莉,快凜,懐利,海浬,海李,海梨,海理,海璃,海里,海陸,海良,海鈴,海麗,海凛,海莉,海凜,絵梨,絵理,絵璃,絵里,開梨,開陸,浬,香衣理,桧李,桧璃,楷莉,櫂浬
かえで	佳楓,夏楓,楓
かおる	かおる,カオル,郁,佳織,加緒留,加織,加穂瑠,嘉織,夏織,花織,馨,薫風,薫流,薫留,薫瑠,香,香織,芳,芳流,芳瑠
かおん	加音,海音,香音
かがり	炬,篝
かぐら	神楽
かける	駆,翔,翔琉
かざほ	風帆
かすが	春日
かず	一,佳寿,夏寿,和
かずあき	和昭
かずい	一生,和衣
かずお	和緒
かずき	かずき,一喜,一希,一季,一稀,一紀,一貴,一月,一樹,一綺,和葵,和喜,和嬉,和希,和季,和稀,和紀,和記,和貴,和輝,和月,和樹,和生,和姫
かずさ	一佐,一沙,一瑳,一咲,一紗,一颯,千沙,和佐,和沙,和砂,和咲,和紗,和颯
かずね	一音,一寧,万音,和音,和子,和寧,和嶺
かずは	一晴,一芭,一葉,一遥,万葉,和羽,和波,和芭,和葉
かずほ	一帆,一保,一歩,一穂,和畝,和帆,和歩,和穂
かずま	和舞
かずみ	一海,一見,一実,一心,一水,一生,一美,一望,一未,胤美,佳純,佳澄,加寿美,嘉済,花澄,紀美,香樹実,香住,香純,香澄,寿美,数美,万美,和海,和観,和見,和三,和実,和水,和泉,和美,和味,和未
かずや	一也
かずよし	一慶
かつき	佳月,嘉月,花月,華月,香月,勝己,珈月
かつひろ	雄大
かつみ	加津美,克己,克実,克美,勝海,勝実,勝美
かつら	桂
かづき	郁月,榎月,佳月,加月,可月,嘉月,夏月,果月,架月,花月,華月,賀月,海月,馨月,樺月,香月,奏月,楓月,風月,和月
かなう	叶,叶羽,叶海,叶優,奏羽,奏生
かなた	かなた,可南丹,叶多,叶夢向,哉多,星空,奏多,奏汰,奏風,彼方
かなで	かなで,歌奏,花撫,叶奏,奏,奏音,奏出,和奏
かなと	叶音,叶人,叶飛,叶翔,哉翔,奏音,奏叶,奏十,奏斗,奏翔
かなむ	叶夢,奏夢
かなめ	叶雨,叶芽,叶夢,紀,香奈愛,最,枢,奏芽,要,要芽
かなる	叶琉,香成,奏瑠
かむい	神,神威
かん	幹,環,栞
きいち	葵一
きお	喜央,希央,希生,季於,季央,季生,紀生,輝央,輝音,輝生,騎央
きおり	希織
きずき	築,絆希
きずな	絆,緤
きせき	奇跡,希汐,希世紀,稀汐,稀夕,軌跡,輝汐,輝石,輝夕
きづき	希月,稀月
きなり	希成,希生,季成,樹生,生成
きはる	葵晴,葵悠,葵遥,葵陽,喜春,希春,希晴,希暖,希明,希悠,希遥,希陽,季晴,稀悠,貴春
きひろ	葵優,希優,輝優,樹央
きょう	杏,馨,叶,亨,享,京,匡,喬,境,恭,教,郷,鏡,響,響生,饗,暁,慶,香,今日,夾
きょうま	恭真
きよし	淳
きらり	希星,晃俐,樹星,星里,煌莉,綺星
きらん	輝嵐,星蘭
きり	喜理,希吏,希理,希莉,季里,稀李,稀梨,稀理,稀里,稀莉,紀里,輝璃,桐,樹里
きりあ	桐亜
きりん	麒麟
きるあ	樹琉愛
きわ	葵和,喜和,希和,季和,稀和,貴和,輝和,樹和
ぎん	銀,誾
ぎんが	銀河
くう	空,空羽,空優,紅羽,来羽,來羽
くうが	空雅
くうや	空哉
くおん	久園,久苑,久遠,久音,九音,玖園,玖苑,玖遠,玖穏,玖音,空音,公音,紅音
くるみ	栗美,胡桃,紅留美,紅瑠美,来未,来弥
けい	けい,佳,馨,希以,希生,希唯,京,啓,啓伊,啓依,啓維,啓衣,圭,圭威,圭衣,圭生,珪,契,径,恵,恵生,慶,慶衣,慧,憩,敬,敬伊,敬依,敬維,敬衣,景,桂,渓,継,蛍,奎,惠,憬,螢
けいき	佳紀,恵喜,恵季,恵輝,慶樹,渓輝
けいし	圭紫,慧紫
けいしゅん	慶春
けいじゅ	恵樹,桂樹
けいと	ケイト,佳音,佳叶,佳采,佳杜,佳都,馨都,京杜,京都,啓渡,啓登,啓都,圭音,圭十,圭登,圭都,恵愛,恵音,恵叶,恵采,恵人,恵斗,恵杜,恵登,恵都,恵翔,慶音,慶采,慶斗,慶登,慶都,慧音,慧斗,慧都,慧翔,敬渡,敬登,敬都,景音,景斗,景登,景都,景冬,桂叶,桂都,渓音,蛍斗,蛍都,蛍翔,結音,憬人
けいや	桂耶
けいん	稀音,慶音
けん	健
こあ	虎愛,虎空,瑚亜,瑚愛,瑚空,幸空,心綺,恋空,來空,琥亜,琥愛,琥空
こいき	小粋,心粋
こう	コウ,杏,湖羽,湖優,胡羽,瑚羽,倖,光,公,向,好,宏,幸,幸羽,広,康,恒,昂,江,甲,皇,紅,紘,航,香,鴻,皐,虹,虹羽,凰,昊,晄,洸,滉,煌,琥羽
こうき	倖生,光希,光紀,幸希,昂希,皇輝,紅希,紅樹,紘輝,航暉,鋼樹,香妃,聖,昊輝,洸来
こうじゅ	光珠
こうは	幸葉,航羽
こころ	こころ,意,情,心,心良,心呂,心路,優想
こすも	宇宙
こはく	こはく
さかえ	さかえ,栄,榮
さんご	三五,燦冴,珊瑚
しいな	椎成,椎那,椎南,椎名
しお	史生,志央,志緒,志麻,紫央,詩央,詩音,詩桜,汐
しおん	しおん,梓恩,梓穏,梓音,幸穏,史苑,史遠,史恩,史温,史穏,史音,嗣恩,四音,士恩,始音,子恩,子温,志園,志苑,志遠,志恩,志温,志穏,志音,思恩,思温,獅音,祉恩,祉温,祉穏,祉音,糸苑,糸音,紫園,紫苑,紫遠,紫央,紫恩,紫温,紫穏,紫音,至恩,至音,詞音,詩苑,詩遠,詩恩,詩温,詩穏,詩音,誌恩,誌音,慈恩,慈温,慈穏,時音,汐穏,汐音,雫音,初音,織音,信音,心温,心穏,心音,真音,星穏,星音,知恩,知音,潮恩,潮音,柊音,巳音,栞音,栞鳳,翔音
しき	しき,史希,史季,四季,士葵,士季,志葵,志喜,志希,志季,志紀,志貴,志樹,志生,思希,糸希,紫葵,紫喜,紫希,紫季,紫稀,紫紀,紫貴,紫己,紫来,紫來,至紀,詩葵,詩喜,詩希,詩季,詩稀,詩生,詩綺,慈季,式,識,識喜,識紀,織,色,心輝
しずき	穏季,静稀,静樹,寧喜,寧希,寧稀,寧生
しずく	しずく,穏空,雫,雫久,雫空,静空,滴,寧来,惺久,惺来
しずる	しずる,玄流,雫流,雫琉,雫瑠,静流,静琉,惺流,惺琉
しづき	しづき,梓月,史月,士月,姿月,志月,思月,紫月,至月,詞月,詩月,慈月,蒔月,汐月,雫月,栞月
しのぶ	しのぶ,司暢,志伸,志信,志暢,志乃舞,紫信,紫暢,詞暢,慈信,偲,恕,信夫,仁,忍,凌歩
しゅら	朱羅,珠羅
しゅり	しゅり,主理,守莉,朱浬,朱利,朱李,朱理,朱璃,朱里,朱俐,朱凛,朱莉,珠利,珠吏,珠李,珠梨,珠理,珠琉,珠凛,珠稟,柊吏,柊李,柊里
しゅんり	春里
じゅきあ	寿希亜,寿希愛,樹希亜
じゅのん	寿暖,樹暖
じゅら	珠羅,珠良,寿羅,樹羅,樹来,樹良
じゅらん	樹蘭
すい	すい,空委,朱以,珠衣,珠生,珠唯,寿唯,吹,水,粋,翠,瑞,穂,彗,珀,粹
すかい	澄海
すなお	すなお,淳,純,真,素,素直,直,直生,惇
せいら	成良,星空,星羅,星来,星良,星來,清羅,聖羅,聖蘭,聖來,誠良,晟羅,晟良
せな	瀨那,瀨南,せな,セナ,汐夏,世菜,世七,世成,世奈,世那,世凪,世南,世波,世名,世和,世梛,瀬永,瀬夏,瀬菜,瀬七,瀬渚,瀬成,瀬奈,瀬那,瀬凪,瀬捺,瀬南,瀬波,瀬名,瀬梛,畝奈,勢那,成那,成南,成梛,星夏,星七,星樹,星渚,星成,星多,星奈,星那,星凪,星南,星波,星名,星流,星和,星梛,晴夏,晴菜,晴奈,晴那,晴凪,晴南,清永,清奈,清那,清凪,清流,聖夏,聖菜,聖七,聖心,聖生,聖奈,聖那,聖凪,醒那,千那,惺渚,惺成,惺凪,惺南,惺梛
せら	せら,世楽,世羅,世来,世良,瀬羅,瀬良,星空,星羅,星来,星良,晴良,聖良,惺羅
せれん	世廉,世蓮,瀬蓮
せん	せん,茜,仙,千,扇,泉,煎,亘
せんじゅ	千寿,千樹,泉寿
せんな	千那,千凪
せんり	せんり,茜里,茜莉,仙里,千浬,千李,千理,千璃,千里,千鈴,千凛,千莉,扇里,泉利,泉李,泉里,閃里
そあ	そあ,奏歩,想空,想和,天亜
そあら	そあら
そうは	蒼晴
そうら	奏良
そうわ	想羽,想和
そな	想菜,想那,想和
そなた	そなた,宇宙,空遥,星空,大翔,颯
そら	そら,ソラ,宇,宇宙,希空,空,空羅,空来,空良,澄空,星空,青空,塑羅,曽良,素羅,素良,奏楽,奏空,奏来,奏良,爽楽,爽来,爽良,想空,想羅,想来,想良,想來,相良,蒼空,蒼蘭,大空,宙,天,天音,碧空,湊楽,昊,昊空,昊来,穹,颯空,颯来,颯良,颯來
そらち	空知
そらは	空羽
そわ	奏羽,奏和,想羽,想和,蒼羽,蒼和
たか	たか,孝,峻,尊,多佳,多賀,鷹,稜
たけみ	健美,剛美,竹美,武美
たまお	玉緒,玉生,玉青,珠緒,瑶央
たまき	たまき,環,環葵,環喜,環希,環紀,環貴,環輝,環己,環樹,環生,環来,玉喜,玉希,玉季,玉紀,玉貴,玉樹,玉木,圭希,珠喜,珠希,珠季,珠貴,珠輝,珠己,珠枝,珠樹,珠生,瑞季,瑞樹,瑞生,多摩樹,太真希,太真貴,太真己,太真樹,太摩貴,太摩己,太摩樹,太万稀,太万貴,太万己,太万樹,碧葵,碧希,玲葵,玲希,玲紀,玲貴,玲樹,瑶生
だいあ	大愛
ちかい	誓
ちかげ	千影,千景,知景,智景
ちかぜ	千風
ちぐさ	千種,千草,智草
ちせ	千世,千瀬,智世
ちせい	千星,千青,知世,知聖,智星,智惺
ちはや	ちはや,茅早,茅颯,千羽哉,千羽也,千羽弥,千羽矢,千快,千敬,千疾,千駿,千晴弥,千早,千速,千隼,千勇,千颯,知駿,知早,知隼,知颯,智駿,智早,智速,智隼,智颯,祐隼,莉颯
ちはる	ちはる,愛桜,茅喜,茅晴,千温,千喜,千玄,千桜,千治,千春,千榛,千晴,千暖,千悠,千遥,千陽,千遼,千晏,知花,知桜,知治,知春,知晴,知暖,知悠,智春,智晴,智暖,智悠,智遥,智陽,智遼,稚晴
ちひろ	ちひろ,千央,千嘉,千拡,千寛,千啓,千景,千宏,千広,千弘,千浩,千紘,千寿,千祥,千尋,千聖,千蒼,千拓,千宙,千都,千博,千弥,千優,千祐,千裕,千洋,千廣,千昊,千洸,千滉,千皓
つかさ	つかさ,月冴,元,司,司沙,司彩,司紗,士,政,束沙,束咲,津佳沙,津傘,典,都加沙,都可沙,都果沙,吏,良,緑沙
つくし	つくし
つくも	九十九
つづみ	鼓
つばさ	つばさ,つば冴,ツバサ,羽,椿沙,椿咲,翼,翼沙,翼咲,翼桜
つばめ	燕
てるみ	瑛海,輝海,輝実,輝美,光美,昭美,照海,照己,照実,照美,照巳
てんし	天使,天子,天詩
てんり	天利,天李,天理,天璃,天里,天俐,天莉
とあ	とあ,永空,遠愛,音亜,音愛,音空,音和,叶亜,叶愛,采亜,采愛,采空,采和,十愛,十逢,十空,十彩,十有,十和,仁愛,仁彩,兎空,斗亜,斗愛,斗安,斗空,斗彩,都亜,都愛,都空,都明,冬空,透愛,飛愛,飛空,橙空,翔亜,翔愛,翔空,翔彩,翔明
とし	敏
としみ	俊海,俊美,敏美,利美
とも	とも,共,幸,丈,知,智,朝,登萌,灯,燈,伴,朋,睦,友,倫,和
とわ	とわ,永愛,永羽,永遠,永久,永和,遠和,乙和,音羽,音和,叶羽,叶和,采羽,采環,采和,十羽,十環,十和,人和,仁羽,仁和,兎羽,兎和,堵和,斗羽,斗環,斗和,杜羽,杜環,杜和,渡羽,渡和,登羽,登環,登和,途羽,都羽,都我,都環,都和,冬和,東和,透羽,透和,瞳和,飛羽,飛和,百和,敏羽,富和,冨羽,豊和,橙羽,橙和,翔羽,翔環,翔湧,翔和
なお	なお,夏生,七央,七音,七絃,七渚,七緒,七生,七和,奈於,奈央,奈保,凪央,凪音,凪生,凪和,南央,南音,南緒,南生,埜,名央,名生,和央,和音,和生
なぎ	なぎ,永葵,七祇,渚,奈義,那葵,那岐,那木,凪,凪葵,凪輝,凪祇,薙,南葵,和,梛,梛木
なぎさ	渚,なぎさ,渚,渚佐,渚左,渚沙,渚砂,渚彩,渚冴,渚咲,渚紗,渚朝,渚颯,汀,凪,凪覚,凪佐,凪沙,凪瑳,凪砂,凪彩,凪冴,凪咲,凪朔,凪桜,凪紗,凪爽,和幸,和沙,和咲,梛沙,梛彩,梛冴,梛桜,梛紗,梛爽
なごみ	なごみ,七五三,和,和海,和己,和心,和美,和望,和未,和弥
なごむ	和夢
なさ	那咲
なつ	なつ,永紬,夏,夏都,懐,菜津,菜都,七紬,七都,成都,成紡,奈津,奈紬,奈都,那月,那津,那紬,那都,凪津,凪都,捺,納都,莫都,名都,和津,和紬,梛津,梛紬,梛都
なつき	なつき,ナツキ,夏葵,夏喜,夏希,夏季,夏稀,夏紀,夏記,夏貴,夏輝,夏吉,夏久,夏月,夏己,夏樹,夏生,夏妃,夏木,夏来,夏來,夏暉,夏煌,夏絆,夏綺,菜月,七月,七槻,渚月,水月,成月,生月,奈胤,奈月,奈津希,奈津貴,奈津樹,奈槻,那月,那津輝,那槻,凪月,捺葵,捺喜,捺希,捺季,捺稀,捺紀,捺貴,捺輝,捺月,捺樹,捺生,捺聖,捺暉,南月,南槻,名月,梛月
なつひ	夏緋,夏陽
ななせ	ななせ,菜々世,菜々星,七世,七瀬,七星,七聖,奈々世,奈那星,那奈瀬,凪々世
なり	なり,音
なる	なる,愛,育,菜流,菜琉,七琉,七瑠,成,成流,成琉,成留,成瑠,奈琉,奈留,奈瑠,那流,那琉,那留,那瑠,凪琉,南琉,南瑠,波琉,波留,波瑠,鳴,梛留,梛瑠
なるみ	匠美,成海,成実,成美,成巳,成弥,稔実,鳴海,鳴実,鳴美
にき	仁葵,仁希,仁稀,仁輝,仁樹,丹希,二希
にじ	虹
にちか	仁愛,仁周,仁知佳,仁悠,二千佳,二千翔,日華,日樺,日香,日和,日翔
にの	にの
ねお	音央,音緒,音織,音生,音陽,音和,希音,祢音,祢桜,寧央,寧音,寧緒,寧生,寧和,峯央,嶺緒
ねおん	ねおん,音苑,音恩,祢音,寧音
ねむ	音夢
のぞみ	のぞみ,希,希海,希観,希光,希実,希充,希生,希美,希望,望,望海,望実,望水,望美,望未
のり	のり,紀,規,憲,智,典,乃理
はおと	羽音,波音,葉音
はおん	羽音,葉音
はつき	はつき,羽月,初希,初季,初稀,初樹,晴月,葉月
はやみ	速水,颯海
はる	はる,ハル,絢,羽流,羽琉,羽留,羽瑠,映流,映留,映瑠,栄,栄留,温,果瑠,花,華,華琉,華瑠,会,喜,啓,浩,桜,治,春,春陽,春流,春琉,春留,春瑠,榛,晴,晴流,晴琉,晴留,晴瑠,生琉,青,大,暖,知,跳琉,日,巴流,巴琉,巴留,巴瑠,覇瑠,杷琉,杷瑠,波流,波琉,波留,波瑠,琶琉,芭流,芭琉,芭留,芭瑠,美,明,悠,悠流,悠瑠,葉流,葉琉,葉留,葉瑠,遥,遥留,陽,陽琉,良,遼,令,櫻,脩,遙
はるか	はるか,永,永遠,温佳,喜花,玄,桜架,春嘉,春果,春華,春叶,春樺,春奏,春日,春楓,春風,春翔,榛夏,晴佳,晴加,晴可,晴夏,晴架,晴珂,晴賀,晴叶,晴圭,晴香,晴日,晴楓,晴風,晴翔,暖加,美海,明佳,明海,悠,悠佳,悠加,悠可,悠嘉,悠夏,悠珂,悠禾,悠華,悠海,悠叶,悠圭,悠日,悠楓,悠風,悠耶,葉留佳,葉留香,葉瑠花,葉瑠香,遥,遥郁,遥伽,遥佳,遥加,遥可,遥夏,遥架,遥河,遥珂,遥禾,遥花,遥賀,遥叶,遥香,遥奏,遥楓,遥風,遥翔,陽加,陽夏,陽迦,陽奏,陽日,陽風,陽翔,瞭,遼,遼佳,遼加,遼可,遼夏,遼果,遼珂,遼禾,遼花,遼香,遼和,令和,遙,遙佳,遙加,遙可,遙夏,遙叶,遙風
はるせ	はるせ,春世,春瀬,晴世,悠世,遥世,陽世
はるひ	はるひ,絢陽,温柊,温陽,華陽,開陽,玄陽,桜緋,桜陽,治陽,春灯,春燈,春日,春妃,春緋,春柊,春陽,晴灯,晴日,晴飛,晴柊,晴陽,大陽,暖灯,暖日,暖柊,暖陽,明飛,明陽,悠光,悠灯,悠燈,悠日,悠緋,悠陽,遥日,遥妃,遥緋,遥飛,遥柊,遥桧,遥陽,陽光,陽燈,陽日,陽妃,陽斐,陽飛,陽柊,遼飛,遼陽,遙日,遙陽
はるみ	始海,始実,始巳,始弥,治美,春海,春己,春実,春美,春巳,春弥,晴海,晴見,晴己,晴実,晴心,晴美,晴巳,晴弥,暖海,暖実,暖美,悠海,遥海,遥実,遥心,遥美,遥巳,遥弥,陽海,陽実,陽心,陽生,陽美,陽巳,遙海,遙実,遙美
はれ	はれ,ハレ,羽玲,春伶,晴,晴玲
ひいらぎ	柊
ひかり	ひかり,ヒカリ,輝,光,光利,光李,光梨,光理,光里,光俐,光凛,光莉,光凜,星,太陽,日香梨,陽加利,陽香里,晄利,晄吏,晄俐,暉,洸
ひかる	ひかる,ヒカル,輝,玄,光,光海,光流,光琉,光留,光瑠,晃,晃瑠,星,日夏瑠,飛華流,陽,陽夏瑠,晄,暉,暉琉,洸,皓
ひさき	久葵,久希,久紀,久貴,寿樹,尚樹,緋咲,柊咲,陽咲
ひじり	聖,日知
ひづき	一月,日月,緋月,飛月,柊月,陽月
ひづる	日鶴,緋鶴,陽鶴
ひとは	一葉,仁葉
ひなか	ひなか
ひなき	日和季,陽葵,陽希
ひなせ	陽瀬,陽生
ひなり	日菜里,緋那理,飛成,柊也,陽成,陽晴,陽奈梨,陽也
ひびき	ひびき,韻,響,響葵,響喜,響希,響気,響季,響稀,響紀,響規,響記,響貴,響輝,響己,響樹,響生,響木,響来,響暉,響綺,日々喜,日々希,日々季,日々輝,日々樹,日々來,陽々希,陽々輝,陽日希,陽美己
ひろ	ひろ,ヒロ,央,嘉,寛,紀,空,啓,景,宏,広,弘,浩,紘,寿,尋,蒼,大,宙,典,灯呂,燈路,日呂,博,比呂,緋呂,飛呂,柊呂,優,祐,裕,洋,陽蕗,陽呂,礼,廣,洸,滉,熙
