あいいちろう	愛一朗,愛一郎,藍一朗,藍一郎,愛一朗,愛一郎,藍一朗,藍一郎
あきのぶ	旭信,瑛進,輝信,鏡亘,暁庸,顕伸,顕発,晃惟,晃延,晃伸,晃信,晃暢,秋延,秋宜,秋述,秋伸,秋信,秋宣,秋暢,秋展,彰悦,彰順,彰信,彰布,昭延,昭修,昭伸,昭信,昭宣,昭展,晶喜,章伸,章信,壮之,爽之,聡之,彬暢,明伸,明信,明宣,明布,耀亘,陽允,陽信,璃信,亮喜,瞭樹,礼宣,朗伸
あきのり	アキノリ,旭規,瑛教,瑛士,瑛詞,瑛雄,央典,輝憲,輝典,郷悟,暁基,暁紀,暁規,暁範,暁律,啓紀,研範,顕法,光実,晃紀,晃教,晃憲,晃成,晃宣,晃典,晃徳,晃熙,燦徳,秋紀,秋規,秋記,秋教,秋敬,秋憲,秋載,秋昇,秋則,秋哲,秋典,秋徳,秋範,秋法,秋礼,彰紀,彰規,彰訓,彰仁,彰徳,昌則,昌典,昭紀,昭憲,昭則,昭典,昭徳,昭範,晶則,晶文,章紀,章典,章徳,紹典,成則,成典,誠章,詮範,壮紀,聡徳,旦識,哲紀,徹訓,白式,明紀,明規,明訓,明慶,明憲,明玄,明成,明則,明勅,明典,明徳,明範,明律,璃則,亮宜,亮則,亮典,朗紀,朗功,晄徳,暉典,煌啓,煌憲,煌徳
あきはる	旭悠,瑛玄,瑛晴,旺陽,暁春,暁晴,暁暖,暁陽,昂晴,晃治,晃晴,晃暖,晃悠,秋映,秋栄,秋温,秋治,秋春,秋晴,秋悠,秋遥,秋陽,秋遼,秋遙,彰治,彰春,昭治,昭春,章治,章晴,翠浩,翠春,誠陽,壮治,爽治,聡治,聡陽,彬晴,明治,明春,明晴,明大,耀晴,璃春,亮明,煌晴
あきひこ	あきひこ,亜紀彦,亜輝彦,亜樹彦,旭彦,安喜彦,安希彦,瑛彦,輝彦,暁彦,顕彦,光彦,昂彦,晃彦,秋彦,彰比古,彰彦,招彦,昭彦,晶彦,章彦,翠彦,爽彦,聡彦,哲彦,彬彦,貿彦,明比古,明彦,陽彦,璃彦,亮彦,瞭彦,諒彦,朗彦,晄彦
あきひさ	旭久,安紀久,瑛久,瑛悠,尭久,暁久,暁寿,暁悠,啓久,慧悠,顕久,昂央,昂久,晃央,晃久,晃尚,晃悠,秋久,秋恒,秋寿,秋尚,秋弥,秋悠,彰久,彰寿,彰悠,昌央,昌久,昭久,昭尚,晶久,章久,章寿,章悠,成寿,成悠,聡悠,哲学,彬久,貿久,明紀寿,明久,明恒,明寿,明尚,明悠,耀悠,璃久,諒尚,朗久,晄久,晟尚,暉久,暉悠,煌久,煌尚
あきひで	暁秀,晃英,晃秀,秋偉,秋英,秋秀,彰偉,彰英,彰秀,昭英,晶英,章秀,誠英,壮之,爽之,聡英,聡之,哲秀,明偉,明英,明秀,陽英,璃秀,晟英,暉英
あきひと	亜輝仁,旭仁,安芸人,瑛一,瑛史,瑛人,瑛仁,旺史,輝一,輝仁,義人,暁一,暁希人,暁史,暁士,暁人,暁仁,啓人,啓仁,敬仁,顕史,顕士,顕人,顕仁,昂日翔,晃史,晃人,晃仁,燦一,秋一,秋人,秋仁,秋斉,秋等,淳仁,将仁,彰一,彰人,彰仁,彰倫,昌士,昭人,昭仁,晶人,晶仁,章人,章仁,翠一,聖人,誠人,誠仁,鮮人,壮士,壮仁,爽士,爽人,爽仁,聡士,聡仁,哲人,哲仁,彬史,彬人,彬仁,明一,明人,明仁,明斉,明等,明瞳,耀一,耀仁,陽一,陽史,陽仁,陽智,璃一,亮人,亮仁,僚人,瞭人,瞭仁,諒人,諒仁,朗人,朗仁,晄人,晄仁,晟人,晟仁,暉史,煌士,煌人,煌仁,皓仁
あきひろ	あきひろ,愛宙,旭広,旭弘,旭浩,旭展,旭祐,旭洋,旭昊,叡弘,瑛賀,瑛寛,瑛広,瑛弘,瑛大,瑛裕,瑛洋,瑛洸,瑛洸蕗,旺寛,旺宏,旺弘,旺丈,旺大,旺宙,開広,開尋,観弘,輝寛,輝弘,輝鴻,輝裕,義啓,義裕,亨洋,暁寛,暁宏,暁広,暁弘,暁大,暁優,暁宥,暁裕,暁洋,暁洸,空宏,空広,空紘,空大,空博,啓寛,慧裕,敬裕,謙光,顕拡,顕寛,顕宏,顕広,顕弘,顕浩,顕紘,顕鴻,顕尋,顕博,顕裕,顕洋,顕滉,顕熙,光優,光洋,幸宏,昂広,晃寬,晃拡,晃寛,晃啓,晃宏,晃広,晃弘,晃浩,晃紘,晃尋,晃大,晃拓,晃宙,晃博,晃裕,晃洋,晃滉,晃熙,察拡,秋賀,秋拡,秋寛,秋京,秋啓,秋景,秋宏,秋広,秋弘,秋浩,秋紘,秋宗,秋潤,秋尋,秋泰,秋大,秋博,秋優,秋祐,秋裕,秋洋,秋礼,秋滉,秋熙,曙尋,彰勲,彰宏,彰広,彰弘,彰浩,彰紘,彰尋,彰大,彰宥,彰洋,招宏,昌宏,昭拡,昭寛,昭宏,昭広,昭弘,昭浩,昭紘,昭尋,昭大,昭博,昭祐,昭裕,昭容,昭洋,昭廣,昭滉,昭熙,晶拡,晶寛,晶啓,晶宏,晶広,晶弘,晶浩,晶紘,晶尋,晶大,晶博,晶裕,晶洋,晶滉,晶熙,祥大,章寛,章啓,章宏,章広,章弘,章浩,章紘,章尋,章大,章博,章裕,章洋,章廣,紹太,信太,成弘,誠広,誠浩,壮紘,爽弘,聡寛,聡啓,聡丈,聡大,智寛,徴景,諦弘,哲啓,哲弘,哲大,哲博,彬寛,彬宏,彬弘,彬浩,彬比侶,彬滉,文弘,飽宏,明嘉,明拡,明寛,明宏,明広,明弘,明浩,明紘,明尋,明大,明博,明優,明裕,明洋,明廣,明滉,明皓,明熙,耀宏,耀広,耀弘,耀浩,耀尋,耀大,耀裕,陽寛,陽啓,陽広,陽弘,陽浩,陽紘,陽丈,陽太,陽大,陽博,陽豊,陽裕,陽洋,璃大,亮栄,亮啓,亮宏,亮広,亮弘,亮大,亮拓,亮弥,亮祐,亮裕,亮廣,瞭大,諒広,朗拡,朗宏,朗大,朗裕,晄弘,晄紘,晄大,晄裕,晟拡,晟寛,晟宏,晟広,晟弘,晟浩,晟紘,晟尋,晟大,晟拓,晟博,晟裕,晟洋,晟滉,晟熙,暉弘,暉宗,暉大,暉裕,暉昊,滉洋,煌啓,煌弘,煌大,煌洸,燿大,皓大
あきまさ	あきまさ,旭将,瑛柾,菊雅,暁雅,暁将,暁正,暁方,暁理,謙匡,顕雅,顕正,顕優,光将,光柾,晃雅,晃匡,晃将,晃真,晃真紗,晃正,晃優,秋雅,秋且,秋賢,秋勝,秋将,秋昌,秋真,秋政,秋正,秋大,秋柾,秋優,秋將,秋榮,曙将,彰栄,彰応,彰雅,彰且,彰賢,彰勝,彰将,彰真,彰正,彰柾,彰優,昌正,昭雅,昭且,昭賢,昭勝,昭将,昭昌,昭真,昭成,昭政,昭正,昭柾,昭優,昭榮,晶且,晶賢,晶勝,晶将,晶正,晶柾,晶優,章維,章雅,章匡,章将,章正,章督,晋眞,成将,成誠,誠正,壮将,聡真,明雅,明賢,明将,明昌,明真,明真紗,明政,明正,明優,優真,耀勝,陽真,陽正,璃雅,亮将,亮誠,朗正,晄且,晄賢,晄勝,晄将,晄正,晄聖,晄柾,晄優,晟応,晟雅,晟且,晟賢,晟勝,晟将,晟正,晟柾,晟優,暉昌,燿真
あきみつ	映光,鏡光,暁三,顕充,吾季光,光実,晃光,秋允,秋光,秋貢,秋三,秋充,秋満,秋密,彰光,昌光,昭光,昭充,晶光,章光,詔三,彬光,明光,明晃,明充,明満,耀満,璃光
あきや	旭哉,瑛哉,瑛也,尭也,尭弥,暁哉,暁也,暁弥,暁矢,空也,顕弥,昂哉,晃哉,晃也,晃弥,燦哉,燦也,秋哉,秋也,秋弥,秋矢,俊菜,彰也,昌哉,昭哉,昭也,昭弥,晶哉,章弥,爽哉,哲也,彪矢,明希也,明哉,明也,明弥,明矢,耀弥,陽矢,璃弥,亮哉,亮矢,諒也,煌弥
あきゆき	瑛之,暁幸,暁行,暁之,啓幸,晃幸,晃行,晃志,晃之,秋幸,秋行,秋雪,秋之,彰幸,彰行,彰之,昭幸,昭行,昭如,昭之,晶幸,章幸,章行,章之,誠幸,壮志,壮至,壮之,爽志,爽至,爽之,聡行,聡志,聡至,聡之,明幸,明行,明之,亮幸,朗之,暉之
あきよし	あきよし,旭喜,旭吉,旭由,安芸良,瑛凱,瑛喜,瑛慶,瑛由,央佳,輝佳,輝義,暁義,暁善,暁良,啓仁,顕義,顕能,吾晴,晃佳,晃嘉,晃義,晃吉,晃慶,晃好,晃詳,晃由,晃良,秋佳,秋嘉,秋喜,秋義,秋吉,秋啓,秋好,秋淑,秋祥,秋善,秋美,秋芳,彰嘉,彰吉,彰芳,彰良,昌慶,昌芳,昭允,昭嘉,昭義,昭吉,昭孝,晶義,晶善,章佳,章嘉,章義,章兆,章良,信義,精哲,誠芳,壮恵,聡義,丹桂,哲吉,彬吉,貿良,明悦,明快,明義,明慶,明好,明仁,明善,明能,明由,耀喜,耀義,陽良,璃義,亮佳,亮喜,亮吉,亮祥,亮由,瞭佳,諒佳,玲佳,玲由,礼義,朗慶,晄慶,晟佳,皓亮
あぎと	亜伎斗,亜希徒,亜毅斗,阿犠都,顎,挙戲斗,明義斗,晄斗
あくと	亜久登,亜空人,愛来斗,葵玖斗,悪人,悪斗,開斗,吾駆斗,明徒,明斗,明豊
あけみつ	朱允,朱光,朱貢,朱三,朱充,朱満,朱密,曙光,明光,明充,明満
あさはる	朝晴,麻晴
あさや	亜佐哉,亜紗哉,旭哉,浅哉,浅八,浅弥,浅矢,朝哉,朝也,朝弥,朝矢,麻哉,麻也,麻耶,麻弥,麻矢
あすと	亜寿人,亜寿斗,亜進翔,亜須斗,吾崇斗,飛斗,明朱人,明寿音,明寿人,明寿翔,明進人,明澄人,明日人,明日斗,明日登
あすま	亜朱真,亜須実,亜澄真,愛洲馬,安枢真,安栖誠,飛海,飛馬,未来磨,明真,明澄真,明日真,明日馬,明日磨,明日麻,明馬,遊真,遊馬
あそう	麻生
あたる	あたる,亜足,亜大琉,阿多流,阿多留,阿太流,阿太留,阿樽,愛渉,空太流,向琉,新流,新琉,暖治,暖留,中,中月,中流,鼎,当,当流,当留,当瑠,任,与留,与瑠
あつお	渥男,渥夫,渥雄,斡夫,温生,温夫,郭男,貴生,厚央,厚生,厚男,厚夫,厚雄,厚郎,淳央,淳男,淳夫,淳雄,純雄,暑男,暑夫,暑雄,昌生,篤央,篤生,篤男,篤夫,篤雄,惇央,惇生,惇夫,敦央,敦生,敦男,敦夫,敦雄,熱生,熱男,熱夫,熱雄
あつじ	貴嗣,厚児,厚慈,厚次,厚滋,厚治,厚示,厚二,厚路,篤次,篤二
あつと	斡斗,温人,温斗,温都,温冬,温飛,温翔,貴翔,敬人,厚士,厚人,厚仁,厚斗,厚渡,厚登,厚都,充杜,充渡,淳人,淳仁,淳斗,淳都,淳豊,淳翔,純士,純人,純斗,暖十,暖人,暖斗,暖都,忠人,忠仁,衷人,篤音,篤叶,篤采,篤士,篤人,篤仁,篤説,篤斗,篤杜,篤渡,篤登,篤都,篤橙,篤翔,惇人,惇仁,惇斗,惇杜,惇登,惇都,惇豊,惇翔,敦音,敦士,敦人,敦仁,敦斗,敦杜,敦登,敦都,敦翔,睦人,陸人,涼斗,涼都,涼翔,諄士
あつとし	斡寿,斡峻,厚紀,厚歳,厚寿,厚淑,厚俊,厚年,厚敏,厚稔,厚利,厚聰,充淑,充峻,淳俊,淳稔,篤寿,篤俊,篤敏,敦利
あつとも	渥友,厚委,厚供,厚共,厚知,厚智,厚朝,厚伴,厚朋,厚友,厚侶,篤朋,惇友,敦智
あつなお	渥尚,渥直,渥猶,厚尚,厚直,厚猶,淳直,篤尚,篤直,篤猶,睦尚
あつなり	渥成,渥也,厚成,厚也,淳成,淳也,純成,篤斎,篤成,篤也,惇成,惇也,敦成
あつのぶ	温伸,厚延,厚宜,厚述,厚伸,厚信,厚宣,厚暢,厚展,淳信,鍾信,徳信,篤延,篤伸,篤信,惇信,敦信,敦申,敦宣
あつのり	斡則,温規,厚紀,厚規,厚記,厚教,厚憲,厚載,厚則,厚典,厚範,厚法,淳憲,淳典,淳徳,純典,徳紀,篤紀,篤憲,篤則,篤典,篤徳,敦紀,敦識,敦則,敦智,熱湯,陸範
あつはる	厚映,厚栄,厚温,厚治,厚春,厚晴,厚悠,厚遥,厚陽,厚遙,篤晴,惇晴,敦玄
あつひこ	亜都彦,阿津彦,渥彦,圧彦,安津彦,温彦,厚彦,史彦,湿彦,淳彦,純彦,醇彦,暑彦,暖彦,篤彦,惇彦,敦比古,敦彦,熱彦,濃彦
あつひで	渥偉,渥英,渥秀,斡秀,厚偉,厚英,厚秀,淳英,淳秀,暑英,暑秀,篤偉,篤英,篤秀,敦豪,敦秀,熱英,熱秀,諄英
あつひと	温人,温仁,毅仁,敬仁,厚一,厚人,厚仁,厚斉,厚等,充人,淳人,淳仁,純人,暖仁,篤一,篤人,篤仁,篤斉,篤等,惇人,惇仁,敦人,敦仁,敦陣,湊仁,涼仙
あつひろ	アツヒロ,逸裕,温大,貴丈,貴裕,京洋,功浩,厚一呂,厚寛,厚啓,厚敬,厚宏,厚広,厚弘,厚浩,厚丈,厚大,厚博,厚裕,厚洋,宏滉,充宏,充浩,淳宏,淳広,淳弘,淳大,淳博,淳祐,純大,純裕,醇大,篤央,篤嘉,篤宏,篤広,篤弘,篤紘,篤丈,篤大,篤拓,篤優,篤祐,篤裕,篤洋,篤昊,惇寛,惇宏,惇広,惇紘,惇大,敦央,敦寛,敦啓,敦宏,敦広,敦弘,敦大,敦博,敦裕,敦洋,敦皓,涼祐,諄大
あつふみ	渥史,渥文,温文,厚史,厚書,厚章,厚文,篤史,篤書,篤章,篤文,惇史,惇文,敦郁,敦文,熱史,熱文
あつむ	亜紡,厚武,厚務,厚夢,厚六,纂夢,修,集,淳武,淳睦,淳夢,鐘,専,同,篤武,篤睦,惇武,惇睦,惇夢,敦睦,敦夢,明紡,侑武,專
あつや	あつ也,温也,京弥,暁也,敬也,厚哉,厚也,厚耶,厚弥,厚矢,充哉,淳哉,淳也,淳弥,淳矢,純也,純弥,昌哉,昌祥,暖也,篤哉,篤也,篤耶,篤弥,篤矢,惇哉,惇也,惇弥,惇矢,惇椰,敦哉,敦也,敦弥,敦矢,敦躍,睦也,湊也,湊弥,陸哉,陸也,陸弥,陸矢,涼椰,諄也
あつゆき	厚維,厚往,厚起,厚恭,厚幸,厚行,厚征,厚雪,厚之,厚侑,淳幸,淳行,淳之,篤幸,篤行,篤之,敦幸,敦行,敦之
あつよし	温良,厚佳,厚嘉,厚喜,厚義,厚吉,厚好,厚淑,厚善,厚美,厚良,淳義,篤佳,篤義,篤慶,篤敬,篤良,敦佳
あつろう	渥朗,渥郎,温朗,温郎,厚朗,厚郎,充朗,淳朗,淳郎,篤朗,篤郎,惇朗,惇郎,敦朗,敦郎,陸郎
あとむ	アトム,亜叶夢,亜十夢,亜人務,亜人夢,亜人無,亜人六,亜吐武,亜徒夢,亜斗武,亜斗務,亜斗夢,亜斗無,亜斗六,亜杜武,亜登武,亜登夢,亜土武,亜土務,亜土夢,亜土無,亜土六,亜刀武,亜飛夢,亜富,亜富夢,亜冨,亜友,亜翔夢,阿人武,阿斗武,阿斗務,阿斗夢,阿斗無,阿斗六,阿都夢,愛斗夢,愛闘夢,愛富,愛翔夢,安人武,安人務,安人夢,安人無,安人六,安斗務,安斗夢,安斗無,安斗六,安登武,安登務,安登夢,安登無,安登六,安土夢,安富,安翔夢,貴夢,空飛夢,空翔,原子,吾士矛,吾斗夢,吾登夢,後武,後務,後夢,後無,後六,昂斗夢,跡武,跡務,跡夢,跡無,跡六,明斗武,明都夢,有都夢,与武,与務,与夢,与無,与六
あやた	絢太,絢汰,絢大,綾多,綾太,綾汰,郁太,郁汰,彩多,彩太,彩大,采汰,彪太,彪汰,文多,紋太,紋汰,紋大,理太,理汰,礼太,礼大,礼拓,惠太,綺多,綺汰
あやたろう	絢多郎,絢太朗,絢太郎,綾太郎,文太郎,紋多朗,紋多郎,紋太朗,紋太郎
あやのり	郁則,彪徳,礼則,礼典
あゆう	亜勇,歩樹,歩憂
あゆた	亜結太,亜悠太,亜由太,愛結太,愛友多,愛友太,愛悠太,鮎太,歩多,歩太,歩汰,歩大
あゆま	亜悠真,亜悠馬,鮎真,歩実,歩真,歩馬,歩磨,歩眞,歩茉
あらと	亜羅斗,革利,荒人,新音,新十,新人,新説,新斗,新登,新都,新留,新翔,嵐蘭人,嵐翔
ありと	亜利人,亜里斗,阿理斗,在人,存人,存斗,存渡,存登,存都,有人,有斗,有渡,有登,有都,有飛,有理斗
いくた	伊久多,育多,育太,育汰,育大,郁多,郁太,郁汰,郁大,一空太,一空汰,幾太,生太,侑大
いくたろう	育多朗,育多郎,育太朗,育太郎,郁多郎,郁太朗,郁太郎,幾多郎,幾太郎
いくと	伊久斗,伊久杜,伊久都,伊空斗,依玖人,依來斗,依來翔,偉久人,偉久斗,偉人,威玖斗,惟久斗,惟玖斗,維久斗,維空人,維来翔,衣久人,衣久徒,衣久斗,衣久登,衣久都,育士,育人,育仁,育征,育跳,育徒,育斗,育杜,育渡,育登,育都,育透,育飛,育友,育翔,郁音,郁叶,郁共,郁戸,郁人,郁仁,郁説,郁太,郁徒,郁斗,郁杜,郁渡,郁登,郁都,郁土,郁冬,郁飛,郁富,郁豊,郁民,郁友,郁翔,一空太,一空斗,往人,往斗,往友,粥斗,幾共,幾人,幾仁,幾斗,幾登,幾都,幾等,幾飛,幾富,行人,行友,行利,征人,征兎,征飛,生音,生叶,生久徒,生人,生仁,生登,生都,生友,生翔,侑音,侑士,侑人,侑仁,侑大,侑斗,侑杜,侑都
いくま	伊久真,伊久馬,伊久磨,伊玖磨,伊玖麻,伊孔磨,惟久馬,惟久磨,衣久真,育真,育馬,育摩,育磨,育麻,育万,育眞,育茉,郁稀,郁交,郁実,郁真,郁大,郁直,郁馬,郁摩,郁磨,郁麻,郁万,一功馬,幾真,幾馬,幾摩,幾磨,行真,行馬,勢真,生真,生馬,生摩,生磨,生万,生眞,猪熊,如真
いくむ	育武,育夢,郁武
いくも	行雲,生雲
いくや	伊久哉,伊玖也,育哉,育八,育也,育耶,育弥,育矢,育朗,郁乎,郁哉,郁也,郁耶,郁弥,郁矢,郁彌,郁椰,幾哉,幾也,幾矢,軍也,行哉,生哉,生也,生弥,闘愛,李來邪
いさお	いさお,イサオ,以佐男,伊佐緒,伊佐男,伊佐夫,伊佐雄,伊三男,伊三夫,伊三雄,伊小男,伊小夫,伊夫,伊弉雄,偉佐夫,井佐男,井佐夫,井小男,井小夫,魁,諌男,諌夫,居竿,勲央,勲生,勲男,勲夫,勲雄,五三夫,功央,功生,功男,功夫,功雄,功郎,功應,巧,巧央,巧生,征夫,績,閥,勇央,勇生,勇男,勇夫,勇雄,勇郎,庸,揚,力,烈,勣,勳
いさむ	イサム,伊佐武,伊祥,偉沙夢,威佐武,威佐夢,威凜,亥左牟,一佐夢,一冴武,敢,義武,勲武,五三六,功武,制,戦士,猪佐武,唯沙夢,勇武,勇務,勇夢,力,諫
いさや	伊紗也,伊小哉,伊小也,伊小弥,伊小矢,偉鞘,井小哉,井小也,諌哉,諌八,諌也,義也,勲也,功哉,功八,功也,功弥,功矢,功彌,勇耶
いずき	イズキ,伊豆樹,泉希,泉毅,泉稀,泉貴,泉輝,泉樹,泉生,雷神,稜葵,稜希,稜紀,稜貴,稜輝,稜騎,稜哉,稜樹,稜生,稜來,稜暉
いずる	出流,出琉,泉流,泉琉
いたる	伊太流,伊太留,依樽,衣樽,井太流,井太留,一善,云足,格,及,虎琉,効,至流,至留,至瑠,親,造,造瑠,達,致,徹,到,到琉,到瑠,届,之,薄,板流,板留,唯枢,昶,迪
いちた	いち太,伊知太,依地汰,偉知太,一巧,一千汰,一太,一汰,一大,一池太,壱治大,壱千大,壱多,壱太,壱汰,壱舵,壱泰,壱大,逸太,市太,唯一汰
いちたか	一敬,一孝,一高,一剛,一嵩,一鷹,一天,一隼,一隆,壱空,市敬
いちたろう	一多朗,一多郎,一太良,一太朗,一太郎,壱太朗,壱太郎,逸多郎,逸太朗,逸太郎,市太朗,市太郎
いちのすけ	偉知之介,維知之介,一ノ介,一ノ助,一乃介,一之介,一之助,一之将,一之丞,一之輔,一之佑,一之祐,一之亮,一能介,一能助,壱ノ介,壱ノ助,壱ノ祐,壱乃介,壱乃佐,壱乃助,壱乃甫,壱之介,壱之助,壱之輔,壱之祐,逸之介,逸之助,乙之介,乙之助,市之介,市之助
いちや	伊千哉,伊知哉,伊知也,惟智矢,一哉,一馳陽,一夜,一弥,一矢,一陽,一彌,一椰,壱哉,壱八,壱也,壱夜,壱弥,壱矢,壱陽,逸弥,市哉,市也,都弥
いちろう	いちろう,伊千朗,伊千郎,伊知朗,伊知郎,伊智朗,依智郎,偉千郎,偉知郎,委治郎,威智郎,意知郎,一郞,一智郎,一龍,一良,一路,一路宇,一朗,一楼,一狼,一郎,一蠟,壱龍,壱朗,壱楼,壱郎,逸朗,逸郎,乙朗,乙楼,乙郎,銀千狼,彩千郎,市朗,市楼,市浪,市郎,唯知郎,唯智郎
いちろうまる	一郎丸
いっき	一基,一旗,一機,一毅,一気,一規,一記,一起,一騎,一球,一興,一極,一己,一超,一絆,壱葵,壱喜,壱希,壱季,壱規,壱貴,壱輝,壱騎,壱球,壱樹,逸気,逸生,乙輝,幾喜,斎輝,稜葵
いっきゅう	一休,一弓,一球,一玖,一赳,壱休,壱球
